year;cpi;gdp;imports
1975;53.8;1,638.3;98185
1976;56.9;1,825.3;124228
1977;60.6;2,030.9;151907
1978;65.2;2,294.7;176002
1979;72.6;2,563.3;212007
1980;82.4;2,789.5;249750
1981;90.9;3,128.4;265067
1982;96.5;3,225.0;247642
1983;99.6;3,536.7;268901
1984;103.9;3,933.2;332418
1985;107.6;4,220.3;338088
1986;109.6;4,462.8;368425
1987;113.6;4,739.5;409765
1988;118.3;5,103.8;447189
1989;124.0;5,484.4;477665
1990;130.7;5,803.1;498438
1991;136.2;5,995.9;491020
1992;140.3;6,337.7;536528
1993;144.5;6,657.4;589394
1994;148.2;7,072.2;668690
1995;152.4;7,397.7;749374
1996;156.9;7,816.9;803113
1997;160.5;8,304.3;876470
1998;163.0;8,747.0;917103
1999;166.6;9,268.4;1029980
2000;172.2;9,817.0;1224408
2001;177.1;10,128.0;1145900
2002;179.9;10,469.6;1164720
2003;184.0;10,960.8;1260717
2004;188.9;11,712.5;1472926
2005;195.3;12,455.8;1677371
