obs;y;x1;x2;x3;x4;x5;x6
1959;64630;82.908;509300;3740;2552;120287;1
1960;65778;84.074;529500;3852;2514;121836;2
1961;65746;85.015;548200;4714;2573;123404;3
1962;66702;86.186;589700;3911;2827;124864;4
1963;67762;87.103;622200;4070;2737;127274;5
1964;69305;88.438;668500;3786;2738;129427;6
1965;71088;90.055;724400;3366;2722;131541;7
1966;72895;92.624;792900;2875;3123;133650;8
1967;74372;95.491;838000;2975;3446;135905;9
1968;75920;99.56;916100;2817;3535;138171;10
1969;77902;104.504;990700;2832;3506;140461;11
1970;78678;110.046;1044900;4093;3188;143070;12
1971;79367;115.549;1134700;5016;2816;145826;13
1972;82153;120.556;1246800;4882;2449;148592;14
1973;85064;127.307;1395300;4365;2327;151476;15
1974;86794;138.82;1515500;5156;2229;154378;16
1975;85846;151.857;1651300;7929;2180;157344;17
1976;88752;160.68;1842100;7406;2144;160319;18
1977;92017;170.884;2051200;6991;2133;163377;19
1978;96048;182.863;2316300;6202;2117;166422;20
1979;98824;198.077;2595300;6137;2088;169440;21
1980;99303;216.073;2823700;7637;2102;172437;22
1981;100397;236.385;3161400;8273;2142;174929;23
1982;99526;250.798;3291500;10678;2179;177176;24
1983;100834;260.68;3573800;10717;2199;179234;25
1984;105005;270.496;3969500;8539;2219;181192;26
1985;107150;278.759;4246800;8312;2234;183174;27
1986;109597;284.895;4480600;8237;2244;185284;28
1987;112440;292.691;4757400;7425;2257;187419;29
1988;114968;302.68;5127400;6701;2224;189233;30
1989;117342;314.179;5510600;6528;2208;190862;31
1990 ;118793;326.357;5837900;7047;2167;192644;32
1991 ;117718;337.747;6026300;8628;2118;194936;33
1992 ;118492;345.477;6367400;9613;1966;197205;34
1993 ;120259;353.516;6689300;8940;1760;199622;35
1994;123060;361.026;7098400;7996;1673;201970;36
1995 ;124900;368.444;7433400;7404;1579;204420;37
1996;126708;375.429;7851900;7236;1502;207087;38
1997;129558;381.663;8337300;6739;1457;209846;39
1998;131463;385.881;8768300;6210;1423;212638;40
1999;133488;391.452;9302200;5880;1380;215404;41
2000;136891;399.986;9855900;5692;1405;218061;42
2001;136933;409.582;10171600;6801;1412;220800;43
2002 ;136485;416.704;10500200;8378;1425;223532;44
2003 ;137736;425.553;11017600;8774;1423;226223;45
2004 ;139252;437.795;11762100;8149;1411;228892;46
2005 ;141730;451.946;12502400;7591;1378;231552;47
