salary;totcomp;tenure;age;sales;profits;assets
3030;8138;7;61;161315.0;2956.0;257389.0
6050;14530;0;51;144416.0;22071.0;237545.0
3571;7433;11;63;139208.0;4430.0;49271.0
3300;13464;6;60;100697.0;6370.0;92630.0
10000;68285;18;63;100469.0;9296.0;355935.0
9375;42381;6;57;81667.0;6328.0;86100.0
9525;12165;15;60;76431.0;5807.0;668641.0
5000;24424;5;61;57813.0;5372.0;59920.0
999;2916;3;57;56154.0;1120.0;36672.0
3300;7467;2;60;53588.0;6398.0;59550.0
3500;3677;16;63;50777.0;5165.0;617679.0
2493;6728;5;61;47678.0;1704.0;42754.0
1911;4727;7;58;47061.0;2945.0;33673.0
2130;2383;4;59;41322.0;1048.0;37675.0
1185;4366;0;56;37154.0;3780.0;30966.0
5236;20582;2;60;35853.0;1259.0;299804.0
1990;14906;4;60;33674.0;568.0;14166.0
6000;31208;32;74;33296.0;3765.6;194398.0
6229;11621;5;63;32379.0;3782.0;365875.0
1523;4354;3;56;31707.0;578.0;28570.0
2060;6854;4;52;31565.9;2965.3;55143.9
4417;18623;15;57;31260.0;703.0;29350.0
8888;48962;17;55;31131.0;3276.0;317590.0
3343;11931;5;56;30951.0;935.0;15666.0
1062;1821;4;57;30678.0;594.0;23638.0
2900;3116;2;56;30219.0;1614.0;13465.0
12962;18536;2;52;30147.0;970.0;26720.0
1800;2327;2;49;29398.0;-962.0;28728.0
6163;10112;9;57;28777.0;4023.0;45066.0
1195;3327;9;59;28203.3;410.8;6700.1
2550;2557;5;58;26898.2;5248.2;31853.4
2460;4315;10;62;26801.0;1976.0;36535.0
2244;116840;1;59;26273.0;6068.0;31471.0
2344;2485;2;55;26266.0;1001.0;28700.0
2605;3747;0;53;25879.0;3294.0;87691.0
3071;12290;5;57;25715.0;1255.0;18375.0
3195;9865;15;55;25595.0;3108.0;261496.0
2523;4946;7;59;25473.0;2172.0;43615.0
2418;2867;4;56;24754.0;674.0;21133.0
1875;1875;6;49;24484.2;806.7;11389.6
533;550;11;63;24269.9;459.8;6259.8
1098;2477;2;50;23840.5;613.2;11702.8
2627;7215;10;60;23657.0;3059.0;26211.0
2990;3941;2;56;23123.0;3527.0;39410.0
