name;Ei;sigma_i;E_hat_i;u_hat_i;rank_u_hat_i;rank_sigma_i;d;d2
Boston Fund;12.4;12.1;11.37;1.03;9;4;5;25
Delaware Fund;14.4;21.4;15.64;1.24;10;9;1;1
Equity Fund;14.6;18.7;14.40;0.20;4;7;-3;9
Fundamental Investors;16.0;21.7;15.78;0.22;5;10;-5;25
Investors Mutual;11.3;12.5;11.56;0.26;6;5;1;1
Loomis-Sales Mutual Fund;10.0;10.4;10.59;0.59;7;2;5;25
Massachusetts Investors Trust;16.2;20.8;15.37;0.83;8;8;0;0
New England Fund;10.4;10.2;10.50;0.10;3;1;2;4
Putnam Fund of Boston;13.1;16.0;13.16;0.06;2;6;-4;16
Wellington Fund;11.3;12.0;11.33;0.03;1;3;-2;4
