obs;industry;sales;rd;profits
1;Food;374342;2716;234662
2;Textiles, apparel, and leather;51639;816;53510
3;Basic chemicals;109899;2277;75168
4;Resin, synthetic rubber, ?bers, and ?lament;132934;2294;34645
5;Pharmaceuticals and medicines;273377;34839;127639
6;Plastics and rubber products;90176;1760;96162
7;Fabricated metal products;174165;1375;155801
8;Machinery;230941;8531;143472
9;Computers and peripheral equipment;91010;4955;34004
10;Semiconductor and other electronic components;176054;18724;81317
11;Navigational, measuring, electromedical, and control instruments;118648;15204;73258
12;Electrical equipment, appliances, and components;101398;2424;54742
13;Aerospace products and parts;227271;15005;72090
14;Medical equipment and supplies;56661;4374;52443
