year;c;g;i;l;h;a
1951;21.89;330.2;45.1;220.4;1491;19
1952;22.29;347.2;50.9;259.5;1504;19.41
1953;19.63;366.1;53.3;256.3;1438;20.93
1954;22.85;366.3;53.6;249.3;1551;21.78
1955;33.77;399.3;54.6;352.3;1646;23.68
1956;39.18;420.7;61.1;329.1;1349;26.01
1957;30.58;442;61.9;219.6;1224;27.52
1958;26.3;447;57.9;234.8;1382;26.89
1959;30.7;483;64.8;237.4;1553.7;26.85
1960;32.1;506;66.2;245.8;1296.1;27.23
1961;30;523.3;66.7;229.2;1365;25.46
1962;30.8;563.8;72.2;233.9;1492.5;23.88
1963;30.8;594.7;76.5;234.2;1634.9;22.62
1964;32.6;635.7;81.7;347;1561;23.72
1965;35.4;688.1;89.8;468.1;1509.7;24.5
1966;36.6;753;97.8;555;1195.8;24.5
1967;38.6;796.3;100;418;1321.9;24.98
1968;42.2;868.5;106.3;525.2;1545.4;25.58
1969;47.9;935.5;111.1;620.7;1499.5;27.18
1970;58.2;982.4;107.8;588.6;1469;28.72
1971;52;1063.4;109.6;444.4;2084.5;29
1972;51.2;1171.1;119.7;427.8;2378.5;26.67
1973;59.5;1306.6;129.8;727.1;2057.5;25.33
1974;77.3;1412.9;129.3;877.6;1352.5;34.06
1975;64.2;1528.8;117.8;556.6;1171.4;39.79
1976;69.6;1700.1;129.8;780.6;1547.6;44.49
1977;66.8;1887.2;137.1;750.7;1989.8;51.23
1978;66.5;2127.6;145.2;709.8;2023.3;54.42
1979;98.3;2628.8;152.5;935.7;1749.2;61.01
1980;101.4;2633.1;147.1;940.9;1298.5;70.87
