year;sales;inventories;ratio
1950;46486;84646;1.82
1951;50229;90560;1.80
1952;53501;98145;1.83
1953;52805;101599;1.92
1954;55906;102567;1.83
1955;63027;108121;1.72
1956;72931;124499;1.71
1957;84790;157625;1.86
1958;86589;159708;1.84
1959;98797;174636;1.77
1960;113201;188378;1.66
1961;126905;211691;1.67
1962;143936;242157;1.68
1963;154391;265215;1.72
1964;168129;283413;1.69
1965;163351;311852;1.91
1966;172547;312379;1.81
1967;190682;339516;1.78
1968;194538;334749;1.72
1969;194657;322654;1.66
1970;206326;338109;1.64
1971;224619;369374;1.64
1972;236698;391212;1.65
1973;242686;405073;1.67
1974;239847;390950;1.63
1975;250394;382510;1.53
1976;242002;378762;1.57
1977;251708;379706;1.51
1978;269843;399970;1.48
1979;289973;424843;1.47
1980;299766;430518;1.44
1981;319558;443622;1.39
1982;324984;449083;1.38
1983;335991;463563;1.38
1984;350715;481633;1.37
1985;330875;428108;1.29
1986;326227;423082;1.30
1987;334616;408226;1.22
1988;359081;439821;1.22
1989;394615;479106;1.21
1990;411663;509902;1.24
