year;ppce;pdpi
1970 ;3,162;3,587
1971 ;3,379;3,860
1972 ;3,671;4,140
1973 ;4,022;4,616
1974 ;4,364;5,010
1975 ;4,789;5,498
1976 ;5,282;5,972
1977 ;5,804;6,517
1978 ;6,417;7,224
1979 ;7,073;7,967
1980 ;7,716;8,822
1981 ;8,439;9,765
1982 ;8,945;10,426
1983 ;9,775;11,131
1984 ;10,589;12,319
1985 ;11,406;13,037
1986 ;12,048;13,649
1987 ;12,766;14,241
1988 ;13,685;15,297
1989 ;14,546;16,257
1990 ;15,349;17,131
1991 ;15,722;17,609
1992 ;16,485;18,494
1993 ;17,204;18,872
1994 ;18,004;19,555
1995 ;18,665;20,287
1996 ;19,490;21,091
1997 ;20,323;21,940
1998 ;21,291;23,161
1999 ;22,491;23,968
2000  ;23,862;25,472
2001  ;24,722;26,235
2002  ;25,501;27,164
2003  ;26,463;28,039
2004  ;27,937;29,536
2005  ;29,468;30,458
