y;y_hat;w_hat;sqrt_w
0;-0.129;0;0
1;0.688;0.2146;0.4633
1;0.893;0.0956;0.3091
0;0.178;0.1463;0.3825
0;0.28;0.2016;0.449
1;0.995;0.00498;0.0705
1;1.098;0;0
0;3.82;0.2361;0.4859
0;-0.0265;0;0
0;0.076;0.0702;0.265
1;0.791;0.1653;0.4066
1;0.893;0.0956;0.3091
0;0.484;0.2497;0.4997
1;1.097;0;0
0;-0.333;0;0
1;0.995;0.00498;0.0705
1;0.688;0.2147;0.4633
0;0.076;0.0702;0.265
0;-0.129;0;0
1;0.893;0.0956;0.3091
1;1.301;0;0
1;0.688;0.2147;0.4633
0;0.28;0.2016;0.499
0;0.178;0.1463;0.3825
1;0.688;0.2147;0.4633
0;0.178;0.1463;0.3825
1;1.097;0;0
1;0.893;0.0956;0.3091
0;0.178;0.1463;0.3825
0;0.076;0.0702;0.265
1;0.791;0.1653;0.4055
0;0.382;0.2361;0.4859
1;1.199;0;0
1;1.097;0;0
0;0.178;0.1463;0.3825
0;-0.129;0;0
1;0.791;0.1653;0.4066
1;0.688;0.2147;0.4633
0;-0.231;0;0
1;0.791;0.1653;0.4066
