age;adeeduc;educ;income;pcigs79;smoker;educ*income
21;252;12;8500;60.6;0;102000
28;420;15;12500;60.6;1;187500
67;670;10;12500;60.6;0;125000
20;240;12;12500;60.6;0;150000
32;384;12;20000;60.6;1;240000
46;690;15;30000;60.6;0;450000
58;696;12;30000;60.6;0;360000
27;364.5;13.5;30000;60.6;1;405000
83;0;0;6500;60.6;0;0
24;288;12;20000;60.6;1;240000
43;688;16;20000;60.6;1;320000
19;256.5;13.5;30000;60.6;0;405000
46;736;16;20000;60.6;0;320000
58;696;12;30000;60.6;1;360000
54;864;16;20000;60.6;0;320000
48;576;12;20000;60.6;0;240000
70;175;2.5;3500;60.6;0;8750
63;850.5;13.5;8500;60.6;0;114750
32;320;10;8500;60.9;0;85000
22;352;16;30000;60.8;0;480000
53;715.5;13.5;20000;60.8;0;270000
44;660;15;30000;60.8;1;450000
63;630;10;20000;60.8;0;200000
28;280;10;20000;60.8;1;200000
26;351;13.5;12500;60.8;1;168750
34;408;12;20000;60.8;1;240000
68;544;8;8500;60.8;0;68000
48;480;10;30000;60.8;1;300000
75;600;8;12500;61.5;0;100000
33;396;12;20000;61.5;0;240000
19;256.5;13.5;30000;61.5;0;405000
71;568;8;20000;61.5;1;160000
55;825;15;12500;61.5;0;187500
40;640;16;20000;61.5;0;320000
38;684;18;30000;61.5;1;540000
55;990;18;6500;62.1;0;117000
19;190;10;4500;62.1;1;45000
77;616;8;20000;62.1;0;160000
68;680;10;5500;62.1;1;55000
27;432;16;30000;62.1;0;480000
47;846;18;30000;62.1;0;540000
70;945;13.5;12500;62.1;0;168750
40;720;18;30000;62.1;0;540000
47;376;8;20000;62.1;0;160000
31;558;18;30000;62.1;0;540000
40;540;13.5;30000;62.1;1;405000
47;634.5;13.5;30000;62.1;0;405000
25;337.5;13.5;4500;62.1;0;60750
31;372;12;12500;62.1;0;150000
29;391.5;13.5;20000;62.1;1;270000
28;378;13.5;20000;62.1;1;270000
57;684;12;20000;62.1;0;240000
48;576;12;20000;62.1;0;240000
45;540;12;12500;62.1;0;150000
18;216;12;12500;62.1;1;150000
75;750;10;8500;62.1;0;85000
53;530;10;8500;62.1;0;85000
54;648;12;20000;62.1;1;240000
17;170;10;12500;62.1;0;125000
70;1120;16;30000;62.1;0;480000
29;348;12;20000;62.1;0;240000
75;750;10;8500;62.1;0;85000
19;228;12;20000;62.1;0;240000
30;405;13.5;30000;62.1;0;405000
27;324;12;30000;62.1;1;360000
31;496;16;30000;62.1;0;480000
44;264;6;8500;62.1;0;51000
39;468;12;20000;62.1;0;240000
27;324;12;500;62.1;1;6000
30;480;16;6500;62.1;0;104000
28;378;13.5;12500;62.1;0;168750
19;228;12;12500;62.1;0;150000
43;516;12;20000;62.1;0;240000
30;405;13.5;20000;62.1;0;270000
43;580.5;13.5;20000;62.1;1;270000
82;820;10;12500;62.1;0;125000
63;756;12;20000;62.1;0;240000
18;180;10;30000;62.1;0;300000
50;500;10;20000;62.1;1;200000
68;816;12;8500;62.1;0;102000
75;600;8;8500;62.1;0;68000
41;553.5;13.5;30000;62.1;1;405000
25;300;12;30000;62.1;1;360000
27;432;16;30000;62.1;1;480000
52;624;12;30000;62.1;0;360000
48;480;10;20000;62.1;1;200000
68;1088;16;30000;62.1;1;480000
19;152;8;12500;62.1;1;100000
54;648;12;30000;62.1;1;360000
51;816;16;12500;62.1;1;200000
24;288;12;30000;62.1;0;360000
43;107.5;2.5;30000;62.1;0;75000
58;348;6;4500;62.1;1;27000
39;468;12;20000;62.1;0;240000
54;324;6;4500;62.1;1;27000
33;396;12;12500;62.1;0;150000
44;0;0;5500;62.1;0;0
28;336;12;30000;62.1;0;360000
54;729;13.5;20000;62.1;1;270000
25;400;16;20000;62.1;0;320000
27;405;15;20000;62.1;0;300000
21;210;10;30000;62.1;1;300000
