i;t;c;q;pf;lf;ln_c;ln_q;ln_pf;ln_lf
1;1;1140640;0.952757;106650;0.534487;13.9471000663515;-0.0483953921021795;11.5773077238995;-0.626447870608888
1;2;1215690;0.986757;110307;0.532328;14.0108223747965;-0.0133314704689033;11.6110226665098;-0.630495438270645
1;3;1309570;1.09198;110574;0.547736;14.0852093970186;0.0879925621366762;11.6134402590601;-0.601961859938632
1;4;1511530;1.17578;121974;0.540846;14.228632940838;0.161931757145825;11.7115631862491;-0.614620698699111
1;5;1676730;1.16017;196606;0.591167;14.3323560260543;0.148566546104756;12.1889570050495;-0.525656729579949
1;6;1823740;1.17376;265609;0.575417;14.4163998955964;0.160212271205854;12.4897805815525;-0.552660283636543
1;7;2022890;1.29051;263451;0.594495;14.5200377399805;0.25503748908103;12.4816226714169;-0.5200429733156
1;8;2314760;1.39067;316411;0.597409;14.6548165684219;0.329785645399471;12.6647972803901;-0.515153308030715
1;9;2639160;1.61273;384110;0.638522;14.7859712426737;0.477928395175207;12.8586842488818;-0.448599148347452
1;10;3247620;1.82544;569251;0.676287;14.9934329783454;0.601821053865922;13.2520767406219;-0.391137736824644
1;11;3787750;1.54604;871636;0.605735;15.1472827332221;0.43569682305174;13.6781271845498;-0.501312682282981
1;12;3867750;1.5279;997239;0.61436;15.1681835005813;0.423894243576532;13.8127457393734;-0.48717420343471
1;13;3996020;1.6602;938002;0.633366;15.2008094237431;0.506938077038798;13.7515073601823;-0.456706824878495
1;14;4282880;1.82231;859572;0.650117;15.2701362384604;0.600104927065468;13.6641898699301;-0.430602932290511
1;15;4748320;1.93646;823411;0.625603;15.3733014292393;0.660861563936976;13.6212107474709;-0.469039294366114
2;1;569292;0.520635;103795;0.490851;13.2521487624955;-0.652706058562422;11.5501730789969;-0.711614659563417
2;2;640614;0.534627;111477;0.473449;13.3701823704298;-0.626185971502151;11.6215735705772;-0.747711080710313
2;3;777655;0.655192;118664;0.503013;13.5640382600798;-0.42282695653003;11.6840512490034;-0.687139264285955
2;4;999294;0.791575;114797;0.512501;13.8148043086289;-0.233730647359308;11.650920630122;-0.668452616751965
2;5;1203970;0.842945;215322;0.566782;14.001134987597;-0.170853566287832;12.2798898611326;-0.567780528903475
2;6;1358100;0.852892;281704;0.558133;14.1215972220922;-0.159122351464225;12.5486121532667;-0.583157993747493
2;7;1501350;0.922843;304818;0.558799;14.2218752613153;-0.0802961564556324;12.6274701561691;-0.581965441149965
2;8;1709270;1;348609;0.57207;14.3515769367461;0;12.7617062292907;-0.558493917467492
2;9;2025400;1.19845;374579;0.624763;14.5212777698803;0.181029055206862;12.8335580076236;-0.470382901160236
2;10;2548370;1.34067;544109;0.628706;14.7509644970629;0.293169489004471;13.2069048734142;-0.464091540136195
2;11;3137740;1.32624;853356;0.58915;14.9590133535206;0.282347870861079;13.6569320899349;-0.529074458822787
2;12;3557700;1.24852;1003200;0.532612;15.084624826621;0.221958849832452;13.8187054488608;-0.629962074876026
2;13;3717740;1.25432;941977;0.526652;15.1286265147484;0.226593593070058;13.7557361371245;-0.641215290118266
2;14;3962370;1.37177;856533;0.540163;15.1923528890585;0.316101876766827;13.6606481249008;-0.61588433312007
2;15;4209390;1.38974;821361;0.528775;15.2528283020489;0.329116679286788;13.618717999465;-0.637192268415499
3;1;286298;0.262424;118788;0.524334;12.5647885053825;-1.33779376268009;11.6850956707078;-0.64562639313696
3;2;309290;0.266433;123798;0.537185;12.6420346270803;-1.32263247411376;11.7264064840133;-0.621412737284326
3;3;342056;0.306043;122882;0.582119;12.7427297453304;-1.18402966402635;11.7189798242907;-0.541080384797348
3;4;374595;0.325586;131274;0.579489;12.8336007213323;-1.12212864332117;11.7850420208804;-0.545608598263421
3;5;450037;0.345706;222037;0.606592;13.0170850805887;-1.06216657611608;12.3105993136337;-0.499898872077069
3;6;510412;0.367517;278721;0.60727;13.1429735217081;-1.00098570289574;12.5379665604699;-0.498781776277865
3;7;575347;0.409937;306564;0.582425;13.2627286160206;-0.891751789627051;12.6331818216962;-0.540554857196772
3;8;669331;0.448023;356073;0.573972;13.4140339850638;-0.802910708599254;12.7828910449928;-0.555174664340182
3;9;783799;0.539595;378311;0.654256;13.5719078889112;-0.616936420814521;12.8434718876501;-0.424256566807667
3;10;913883;0.539382;555267;0.631055;13.7254578334897;-0.61733123924488;13.2272043581273;-0.460362257006454
3;11;1041520;0.467967;850322;0.56924;13.8561917425713;-0.759357498371149;13.6533703802604;-0.563453141166678
3;12;1125800;0.450544;1015610;0.589682;13.9340044520121;-0.797299537446694;13.8309999751604;-0.528171870436797
3;13;1096070;0.468793;954508;0.587953;13.9072416130637;-0.757593972571428;13.7689513034643;-0.53110826625103
3;14;1198930;0.494397;886999;0.565388;13.9969400503204;-0.704416440818231;13.6955991338954;-0.570243057860152
3;15;1170470;0.493317;844079;0.577078;13.972915935512;-0.70660330954828;13.6460013710934;-0.549777839634561
4;1;145167;0.086393;114987;0.432066;11.8856400828152;-2.44884862497282;11.6525743574772;-0.839176924629585
4;2;170192;0.09674;120501;0.439669;12.0446824904914;-2.3357283115873;11.6994133306336;-0.821733107896218
