year;comp_us;un_us;comp_can;un_can;comp_uk;un_uk
1980;55.9;7.1;49.0;7.3;47.1;6.9
1981;61.6;7.6;53.8;7.3;47.5;9.7
1982;67.2;9.7;60.1;10.7;45.1;10.8
1983;69.3;9.6;64.3;11.6;41.9;11.5
1984;71.6;7.5;65.0;10.9;39.8;11.8
1985;75.3;7.2;65.0;10.2;42.3;11.4
1986;78.8;7.0;64.9;9.3;52.0;11.4
1987;81.3;6.2;69.6;8.4;64.5;10.5
1988;84.1 ;5.5 ;78.5 ;7.4;74.8;8.6 
1989;86.6 ;5.3 ;85.5 ;7.1 ;73.5;7.3 
1990;90.5 ;5.6 ;92.4 ;7.7              ;89.6;7.1
1991;95.6;6.8;100.7;9.8;99.9;8.9
1992;100.0;7.5 ;100.0 ;10.6;100.0 ;10.0 
1993;102.0 ;6.9 ;94.8 ;10.8;88.8;10.4 
1994;105.3 ;6.1 ;92.1 ;9.6              ;92.8;8.7 
1995;107.3;5.6;93.9;8.6;97.3;8.7
1996;109.3;5.4;95.9;8.8;96.0;8.1
1997;112.2;4.9;96.7;8.4;104.1;7.0
1998;118.7;4.5;94.9;7.7;113.8;6.3
1999;123.4;4.2;96.8;7.0;117.5;6.0
2000;134.7;4.0;100.0;6.1;114.8;5.5
2001;137.8;4.7;98.9;6.5;114.7;5.1
2002;147.8;5.8;101.0;7.0;126.8;5.2
2003;158.2;6.0;116.7;6.9;145.2;5.0
2004;161.5;5.5;127.1;6.4;171.4;4.8
2005;168.3;5.1;141.8;6.0;177.4;4.8
2006;172.4;4.6;155.5;5.5;192.3;5.5
