countryid;country;cntry_code;year;aidcap;raidcap;infmort;infmort_2;pop;raid;civlib;polright;civil_polrts;goveff;regqual;rgdpcap1;rgdpcap;rgdcap_2;popmil;popmil_2;deflator;y1;y2;y3
1;Albania;1;1995;57.17112;62.08052985;29;841;3185000;197.7264876;4;3;7;-0.31;0.16;825.768135;2775;7700625;3185;10.144225;1.0858722;1;0;0
1;Albania;1;2000;102.4799;102.4799;22;484;3113000;319.0199287;5;4;9;-0.75;-0.06;1186.742692;3689;13608721;3113;9.690769;1;0;1;0
1;Albania;1;2003;108013;102.0388334;18;324;3169064;323.361063;3;3;6;-0.41;-0.22;1700.631176;4322;18679684;3169;10.042561;0.9446903;0;0;1
2;Algeria;2;1995;10.60834;11.51930149;43;1849;28060000;323.2315998;6;6;12;-0.77;-0.68;1616.194613;5030;25300900;28.06;787.3636;1.0858722;1;0;0
2;Algeria;2;2000;6.615764;6.615764;37;1369;30385000;201.0199891;5;6;11;-0.75;-0.76;1759.24601;5419;29365561;30385;923.248225;1;0;1;0
2;Algeria;2;2003;7.295349;6.891845435;35;1225;31832610;219.3881157;5;6;11;-0.53;-0.76;2018.575325;5833;34023889;31833;1013.339889;0.9446903;0;0;1
3;Angola;3;1995;38.45602;41.75832304;154;23716;10868000;453.8294548;6;6;12;-1.13;-1.6;503.5232754;1783;3179089;10868;118.113424;1.0858722;1;0;0
3;Angola;3;2000;24.75941;24.75941;154;23716;12386000;306.6700523;6;6;12;-1.7;-1.79;737.0563539;1912;3655744;12386;153.412996;1;0;1;0
3;Angola;3;2003;36.88329;34.8432863;154;23716;13522110;471.1509173;5;6;11;-1.17;-1.39;965.8537895;2022;4088484;13522;182.844484;0.9446903;0;0;1
4;Argentina;4;1995;4.126329;4.480665949;22;484;34779100;155.833081;3;2;5;0.45;0.82;8056.2656;11252;126607504;34779;1209.578841;1.0858722;1;0;0
4;Argentina;4;2000;2.074279;2.074279;17;289;36783860;76.30027874;2;1;3;0.28;0.45;7726.315292;12185;148474225;36784;1353.062656;1;0;1;0
4;Argentina;4;2003;2.889643;2.729817713;17;289;37869730;103.3781968;2;2;4;-0.4;-0.81;3232.869502;10920;119246400;37.87;1434.1369;0.9446903;0;0;1
5;Armenia;5;1995;65.54753;71.17624061;44;1936;3324000;236.5898238;4;4;8;-0.32;-0.74;479.6644438;1815;3294225;3324;11.048976;1.0858722;1;0;0
5;Armenia;5;2000;69.37339;69.37339;33;1089;3112000;215.8899897;4;4;8;-0.88;-0.39;614.2557841;2422;5866084;3112;9.684544;1;0;1;0
5;Armenia;5;2003;80.96858;76.49023213;30;900;3055630;233.7541494;4;4;8;-0.37;0.08;867.143971;3468;12027024;3056;9.339136;0.9446903;0;0;1
6;Azerbaijan;6;1995;15.46649;16.79463152;80;6400;7685000;129.0667432;6;6;12;-1.05;-1.21;431.3063184;1817;3301489;7685;59.059225;1.0858722;1;0;0
6;Azerbaijan;6;2000;17.32016;17.32016;77;5929;8049000;139.4099678;5;6;11;-0.96;-0.51;655.0648528;2571;6610041;8049;64.786401;1;0;1;0
6;Azerbaijan;6;2003;36.03911;34.04579764;75;5625;8233000;280.299052;5;6;11;-0.86;-0.72;818.9890032;3417;11675889;8233;67.782289;0.9446903;0;0;1
7;Bahamas, The;7;1995;16.36691;17.77237257;20;400;278000;4.940719574;2;1;3;0.71;0.68;13512.46866;14823;219721329;278;0.077284;1.0858722;1;0;0
7;Bahamas, The;7;2000;18.06557;18.06557;14;196;305000;5.50999885;1;1;2;1.2;0.95;16000;16793;282004849;305;0.093025;1;0;1;0
8;Bahrain;8;1995;85.18198;92.49674402;14;196;577000;53.3706213;6;6;12;0.45;0.61;11008.27502;14647;214534609;577;0.332929;1.0858722;1;0;0
8;Bahrain;8;2000;73.26865;73.26865;13;169;670000;49.0899955;6;7;13;0.74;1.02;11896.55373;15870;251856900;0.67;0.4489;1;0;1;0
8;Bahrain;8;2003;52.73573;49.81893259;12;144;711662;35.47108;5;5;10;0.79;0.85;12752.26333;18052;325874704;712;0.506944;0.9446903;0;0;1
9;Bangladesh;9;1995;10.75735;11.68110731;75;5625;120130000;1403.251421;4;3;7;-0.67;-0.54;342.9428103;1320;1742400;120.13;14431.2169;1.0858722;1;0;0
9;Bangladesh;9;2000;8.938039;8.938039;54;2916;131050000;1171.330011;4;3;7;-0.47;-0.16;347.3822205;1495;2235025;131.05;17174.1025;1;0;1;0
9;Bangladesh;9;2003;10.09254;9.53432464;46;2116;138066400;1316.366066;4;4;8;-0.64;-1.1;355.2082986;1672;2795584;138066;19062.220356;0.9446903;0;0;1
10;Belarus;10;1995;21.87267;23.75092429;15;225;10194000;242.1169222;5;5;10;-1.2;-1.08;1488.375646;3476;12082576;10194;103.917636;1.0858722;1;0;0
10;Belarus;10;2000;3.96102;3.96102;14;196;10005000;39.6300051;6;6;12;-0.92;-2.7;1141.154423;4802;23059204;10005;100.100025;1;0;1;0
10;Belarus;10;2003;3.232478;3.053690612;13;169;9880963;30.17351694;6;6;12;-0.99;-1.72;1684.749264;5729;32821441;9881;97.634161;0.9446903;0;0;1
11;Belize;11;1995;85.68129;93.03893087;36;1296;216500;20.189448;1;1;2;-0.39;0.12;3106.647763;4911;24117921;217;0.047089;1.0858722;1;0;0
