year;pc;pdi;grossinv;gnp;lti
1960;107808;117179;29121;145458;8
1961;115147;127599;31476;161802;8
1962;120050;135007;34128;164674;8
1963;126115;142128;35996;181534;8.25
1964;137192;159649;43445;196586;9
1965;147707;172756;49003;214922;9
1966;157687;182366;50567;228040;9
1967;167528;195611;49770;240791;9
1968;179025;204470;60397;257226;8.75
1969;190089;222638;71653;282168;8
1970;206813;246819;70663;304420;8
1971;217212;269249;80558;327723;8
1972;232312;297266;92977;356886;8
1973;250057;335522;100093;383916;9
1974;251650;310231;74500;369325;11.83
1975;266884;327521;74660;390000;11.88
1976;281066;350427;79750;415491;11.5
1977;293928;366730;85950;431164;12
1978;310640;390189;91100;458675;13.46
1979;318817;406857;99121;476048;16.71
1980;319341;401942;92705;485108;21.25
1981;325851;419669;85750;484259;21.33
1982;338507;421716;84100;483879;20.5
1983;339425;417930;83000;481198;20.5
1984;345194;434696;78300;490881;20.5
1985;358671;456576;82360;502258;20.5
1986;361026;439654;77234;507199;20.5
1987;365473;438454;73315;505713;21.82
1988;378488;476345;79831;529460;22.89
1989;394942;492334;87873;546572;23.26
1990;403194;495939;96139;546982;27.62
1991;412458;513173;91726;566586;29.45
1992;420028;502520;93140;568582;28.71
1993;420585;523066;91292;569724;28.56
1994;426893;520728;93073;579846;27.44
1995;433723;518407;98470;588691;23.05
