year;ppce;ppdi
1959;8776;9685
1960;8837;9735
1961;8873;9901
1962;9170;10227
1963;9412;10455
1964;9839;11061
1965;10331;11594
1966;10793;12065
1967;10994;12457
1968;11510;12892
1969;11820;13163
1970;11955;13563
1971;12256;14001
1972;12868;14512
1973;13371;15345
1974;13148;15094
1975;13320;15291
1976;13919;15738
1977;14364;16128
1978;14837;16704
1979;15030;16931
1980;14816;16940
1981;14879;17217
1982;14944;17418
1983;15656;17828
1984;16343;19011
1985;17040;19476
1986;17570;19906
1987;17994;20072
1988;18554;20740
1989;18898;21120
1990;19067;21281
1991;18848;21109
1992;19208;21548
1993;19593;21493
1994;20082;21812
1995;20382;22153
1996;20835;22546
1997;21365;23065
1998;22183;24131
1999;23050;24564
2000;23860;25469
2001;24205;25687
2002;24612;26217
2003;25043;26535
2004;25711;27232
2005;26277;27436
2006;26828;28005
