year;c;i;y
1970;2451.9;427.1;3771.9
1971 ;2545.5;475.7;3898.6
1972 ;2701.3;532.1;4105
1973 ;2833.8;594.4;4341.5
1974 ;2812.3;550.6;4319.6
1975 ;2876.9;453.1;4311.2
1976 ;3035.5;544.7;4540.9
1977 ;3164.1;627;4750.5
1978 ;3303.1;702.6;5015
1979 ;3383.4;725;5173.4
1980 ;3374.1;645.3;5161.7
1981 ;3422.2;704.9;5291.7
1982 ;3470.3;606;5189.3
1983 ;3668.6;662.5;5423.8
1984 ;3863.3;857.7;5813.6
1985 ;4064;849.7;6053.7
1986 ;4228.9;843.9;6263.6
1987 ;4369.8;870;6475.1
1988 ;4546.9;890.5;6742.7
1989 ;4675;926.2;6981.4
1990 ;4770.3;895.1;7112.5
1991 ;4778.4;822.2;7100.5
1992 ;4934.8;889;7336.6
1993 ;5099.8;968.3;7532.7
1994 ;5290.7;1099.6;7835.5
1995 ;5433.5;1134;8031.7
1996 ;5619.4;1234.3;8328.9
1997 ;5831.8;1387.7;8703.5
1998 ;6125.8;1524.1;9066.9
1999  ;6438.6;1642.6;9470.3
2000 ;6739.4;1735.5;9817
2001 ;6910.4;1598.4;9890.7
2002;7099.3;1557.1;10048.8
2003;7295.3;1613.1;10301
2004 ;7561.4;1770.2;10675.8
2005 ;7803.6;1869.3;11003.4
2006;8044.1;1919.5;11319.4
