obs;year_quarter;carsales;persincome;pricegas;quantgas
1;1978:01;10.0699996948242;1755.69995117188;64.8000030517578;6681
2;1978:02;10.4499998092651;1755.69995117188;64.6999969482422;6876
3;1978:03;10.9530000686646;1755.69995117188;64.6999969482422;7255
4;1978:04;11.78600025177;1821;64.9000015258789;7202
5;1978:05;11.8039999008179;1821;65.5;7724
6;1978:06;11.8109998703003;1821;66.3000030517578;7913
7;1978:07;11.0670003890991;1879.40002441406;67.4000015258789;7576
8;1978:08;11.6540002822876;1879.40002441406;68.1999969482422;7872
9;1978:09;10.7950000762939;1879.40002441406;68.8000030517578;7399
10;1978:10;11.4020004272461;1937;69;7448
11;1978:11;11.1000003814697;1937;69.5;7503
12;1978:12;11.0749998092651;1937;70.5;7451
13;1979:01;10.9630002975464;1996.80004882813;71.5999984741211;6830.35498046875
14;1979:02;11.2700004577637;1996.80004882813;73;7254.35693359375
15;1979:03;11.371000289917;1996.80004882813;75.5;7229
16;1979:04;10.8889999389648;2041.19995117187;80.1999969482422;7055.033203125
17;1979:05;10.7980003356934;2041.19995117187;84.4000015258789;7213.38720703125
18;1979:06;9.61499977111816;2041.19995117187;90.0999984741211;7190.76708984375
19;1979:07;10.6129999160767;2108.60009765625;94.9000015258789;6901.8388671875
20;1979:08;10.8059997558594;2108.60009765625;98.8000030517578;7330.2578125
21;1979:09;10.7150001525879;2108.60009765625;102;6880.7998046875
22;1979:10;9.59000015258789;2179.39990234375;102.800003051758;7020.4521484375
23;1979:11;9.72200012207031;2179.39990234375;104.099998474121;6790.93310546875
24;1979:12;10.3540000915527;2179.39990234375;106.5;6730.35498046875
25;1980:01;11.326000213623;2248.10009765625;113.099998474121;6323
26;1980:02;10.4770002365112;2248.10009765625;120.699996948242;6596
27;1980:03;9.52299976348877;2248.10009765625;125.199996948242;6406
28;1980:04;8.10599994659424;2268.80004882812;126.400001525879;6800
29;1980:05;7.34999990463257;2268.80004882812;126.599998474121;6729
30;1980:06;7.94899988174439;2268.80004882812;126.900001525879;6657
31;1980:07;8.94699954986572;2339;127.099998474121;6743
32;1980:08;8.65900039672852;2339;126.699996948242;6648
33;1980:09;8.70100021362305;2339;125.699996948242;6510
34;1980:10;9.08899974822998;2439.80004882812;125;6662
35;1980:11;8.9069995880127;2439.80004882812;125;6234
36;1980:12;8.7480001449585;2439.80004882812;125.800003051758;6632
37;1981:01;9.04300022125244;2510.60009765625;129.800003051758;6431
38;1981:02;10.0319995880127;2510.60009765625;138.199996948242;6301
39;1981:03;10.201000213623;2510.60009765625;141.699996948242;6303
40;1981:04;8.09000015258789;2549.5;141.199996948242;6602
41;1981:05;8.06999969482422;2549.5;140;6615
42;1981:06;8.07600021362305;2549.5;139.100006103516;7028
43;1981:07;8.19400024414063;2652.30004882812;138.199996948242;6823
44;1981:08;10.0579996109009;2652.30004882812;137.600006103516;6637
45;1981:09;8.85400009155273;2652.30004882812;137.600006103516;6662
46;1981:10;7.2810001373291;2685.10009765625;137.100006103516;6578
47;1981:11;7.34499979019165;2685.10009765625;136.899993896484;6373
48;1981:12;7.16900014877319;2685.10009765625;136.5;6681
49;1982:01;7.79500007629395;2709.39990234375;135.800003051758;5961
