obs;m2;gdp;tbrate;cpi
1970 ;626.5;3771.9;6.458;38.8
1971 ;710.3;3898.6;4.348;40.5
1972 ;802.3;4105;4.071;41.8
1973 ;855.5;4341.5;7.041;44.4
1974 ;902.1;4319.6;7.886;49.3
1975 ;1016.2;4311.2;5.838;53.8
1976 ;1152;4540.9;4.989;56.9
1977 ;1270.3;4750.5;5.265;60.6
1978 ;1366;5015;7.221;65.2
1979 ;1473.7;5173.4;10.041;72.6
1980 ;1599.8;5161.7;11.506;82.4
1981 ;1755.5;5291.7;14.029;90.9
1982 ;1910.1;5189.3;10.686;96.5
1983 ;2126.4;5423.8;8.63;99.6
1984 ;2309.8;5813.6;9.58;103.9
1985 ;2495.5;6053.7;7.48;107.6
1986 ;2732.2;6263.6;5.98;109.6
1987 ;2831.3;6475.1;5.82;113.6
1988 ;2994.3;6742.7;6.69;118.3
1989 ;3158.3;6981.4;8.12;124
1990 ;3277.7;7112.5;7.51;130.7
1991 ;3378.3;7100.5;5.42;136.2
1992 ;3431.8;7336.6;3.45;140.3
1993 ;3482.5;7532.7;3.02;144.5
1994 ;3498.5;7835.5;4.29;148.2
1995 ;3641.7;8031.7;5.51;152.4
1996 ;3820.5;8328.9;5.02;156.9
1997 ;4035;8703.5;5.07;160.5
1998 ;4381.8;9066.9;4.81;163
1999  ;4639.2;9470.3;4.66;166.6
2000 ;4921.7;9817;5.85;172.2
2001 ;5433.5;9890.7;3.45;177.1
2002;5779.2;10048.8;1.62;179.9
2003;6071.2;10301;1.02;184
2004 ;6421.6;10675.8;1.38;188.9
2005 ;6691.7;11003.4;3.16;195.3
2006;7035.5;11319.4;4.73;201.6
