firm;year;i;f-1;c-1
GE;1935;33.1;1170.6;97.8
GE;1936;45.0;2015.8;104.4
GE;1937;77.2;2803.3;118.0
GE;1938;44.6;2039.7;156.2
GE;1939;48.1;2256.2;172.6
GE;1940;74.4;2132.2;186.6
GE;1941;113.0;1834.1;220.9
GE;1942;91.9;1588.0;287.8
GE;1943;61.3;1749.4;319.9
GE;1944;56.8;1687.2;321.3
GE;1945;93.6;2007.7;319.6
GE;1946;159.9;2208.3;346.0
GE;1947;147.2;1656.7;456.4
GE;1948;146.3;1604.4;543.4
GE;1949;98.3;1431.8;618.3
GE;1950;93.5;1610.5;647.4
GE;1951;135.2;1819.4;671.3
GE;1952;157.3;2079.7;726.1
GE;1953;179.5;2371.6;800.3
GE;1954;189.6;2759.9;888.9
GM;1935;317.6;3078.5;2.8
GM;1936;391.8;4661.7;52.6
GM;1937;410.6;5387.1;156.9
GM;1938;257.7;2792.2;209.2
GM;1939;330.8;4313.2;203.4
GM;1940;461.2;4643.9;207.2
GM;1941;512.0;4551.2;255.2
GM;1942;448.0;3244.1;303.7
GM;1943;499.6;4053.7;264.1
GM;1944;547.5;4379.3;201.6
GM;1945;561.2;4840.9;265.0
GM;1946;688.1;4900.0;402.2
GM;1947;568.9;3526.5;761.5
GM;1948;529.2;3245.7;922.4
GM;1949;555.1;3700.2;1020.1
GM;1950;642.9;3755.6;1099.0
GM;1951;755.9;4833.0;1207.7
GM;1952;891.2;4924.9;1430.5
GM;1953;1304.4;6241.7;1777.3
GM;1954;1486.7;5593.6;2226.3
US;1935;209.9;1362.4;53.8
US;1936;355.3;1807.1;50.5
US;1937;469.9;2673.3;118.1
US;1938;262.3;2039.7;260.2
US;1939;230.4;1957.3;312.7
US;1940;361.6;2202.9;254.2
US;1941;472.8;2380.5;261.4
US;1942;445.6;2168.6;298.7
US;1943;361.6;1985.1;301.8
US;1944;288.2;1813.9;279.1
US;1945;258.7;1850.2;213.8
US;1946;420.3;2067.7;232.6
US;1947;420.5;1796.7;264.8
US;1948;494.5;1625.8;306.9
US;1949;405.1;1667.0;351.1
US;1950;418.8;1677.4;357.8
US;1951;588.2;2289.5;341.1
US;1952;645.2;2159.4;444.2
US;1953;641.0;2031.3;623.6
US;1954;459.3;2115.5;669.7
;;;;
WEST;1935;12.93;191.5;1.8
WEST;1936;25.9;516.0;0.8
WEST;1937;35.05;729.0;7.4
WEST;1938;22.89;560.4;18.1
WEST;1939;18.84;519.9;23.5
WEST;1940;28.57;628.5;26.5
WEST;1941;48.51;537.1;36.2
WEST;1942;43.34;561.2;60.8
WEST;1943;37.02;617.2;84.4
WEST;1944;37.81;626.7;91.2
WEST;1945;39.27;737.2;92.4
WEST;1946;53.46;760.5;86.0
WEST;1947;55.56;581.4;111.1
WEST;1948;49.56;662.3;130.6
WEST;1949;32.04;583.8;141.8
WEST;1950;32.24;635.2;136.7
WEST;1951;54.38;732.8;129.7
WEST;1952;71.78;846.1;145.5
WEST;1953;90.08;1193.5;174.8
WEST;1954;68.60;1188.9;213.5
