year_month;year;month;m1
jan-1959;1959;1;138.90
fev-1959;1959;2;139.40
mar-1959;1959;3;139.70
abr-1959;1959;4;139.70
mai-1959;1959;5;140.70
jun-1959;1959;6;141.20
jul-1959;1959;7;141.70
ago-1959;1959;8;141.90
set-1959;1959;9;141.00
out-1959;1959;10;140.50
nov-1959;1959;11;140.40
dez-1959;1959;12;140.00
jan-1960;1960;1;140.00
fev-1960;1960;2;139.90
mar-1960;1960;3;139.80
abr-1960;1960;4;139.60
mai-1960;1960;5;139.60
jun-1960;1960;6;139.60
jul-1960;1960;7;140.20
ago-1960;1960;8;141.30
set-1960;1960;9;141.20
out-1960;1960;10;140.90
nov-1960;1960;11;140.90
dez-1960;1960;12;140.70
jan-1961;1961;1;141.10
fev-1961;1961;2;141.60
mar-1961;1961;3;141.90
abr-1961;1961;4;142.10
mai-1961;1961;5;142.70
jun-1961;1961;6;142.90
jul-1961;1961;7;142.90
ago-1961;1961;8;143.50
set-1961;1961;9;143.80
out-1961;1961;10;144.10
nov-1961;1961;11;144.80
dez-1961;1961;12;145.20
jan-1962;1962;1;145.20
fev-1962;1962;2;145.70
mar-1962;1962;3;146.00
abr-1962;1962;4;146.40
mai-1962;1962;5;146.80
jun-1962;1962;6;146.60
jul-1962;1962;7;146.50
ago-1962;1962;8;146.60
set-1962;1962;9;146.30
out-1962;1962;10;146.70
nov-1962;1962;11;147.30
dez-1962;1962;12;147.80
jan-1963;1963;1;148.30
fev-1963;1963;2;148.90
mar-1963;1963;3;149.20
abr-1963;1963;4;149.70
mai-1963;1963;5;150.40
jun-1963;1963;6;150.40
jul-1963;1963;7;151.30
ago-1963;1963;8;151.80
set-1963;1963;9;152.00
out-1963;1963;10;152.60
nov-1963;1963;11;153.70
dez-1963;1963;12;153.30
jan-1964;1964;1;153.70
fev-1964;1964;2;154.30
mar-1964;1964;3;154.50
abr-1964;1964;4;154.80
mai-1964;1964;5;155.30
jun-1964;1964;6;155.60
jul-1964;1964;7;156.80
ago-1964;1964;8;157.80
set-1964;1964;9;158.70
out-1964;1964;10;159.20
nov-1964;1964;11;160.00
dez-1964;1964;12;160.30
jan-1965;1965;1;160.70
fev-1965;1965;2;160.90
mar-1965;1965;3;161.50
abr-1965;1965;4;162.00
mai-1965;1965;5;161.70
jun-1965;1965;6;162.20
jul-1965;1965;7;163.10
ago-1965;1965;8;163.70
set-1965;1965;9;164.90
out-1965;1965;10;166.00
nov-1965;1965;11;166.70
dez-1965;1965;12;167.80
jan-1966;1966;1;169.10
fev-1966;1966;2;169.60
mar-1966;1966;3;170.50
abr-1966;1966;4;171.80
mai-1966;1966;5;171.30
jun-1966;1966;6;171.60
jul-1966;1966;7;170.30
ago-1966;1966;8;170.80
set-1966;1966;9;172.00
out-1966;1966;10;171.20
nov-1966;1966;11;171.40
dez-1966;1966;12;172.00
jan-1967;1967;1;171.90
fev-1967;1967;2;173.00
mar-1967;1967;3;174.80
abr-1967;1967;4;174.20
mai-1967;1967;5;175.70
jun-1967;1967;6;177.00
jul-1967;1967;7;178.10
ago-1967;1967;8;179.70
set-1967;1967;9;180.70
out-1967;1967;10;181.60
nov-1967;1967;11;182.40
dez-1967;1967;12;183.30
jan-1968;1968;1;184.30
fev-1968;1968;2;184.70
mar-1968;1968;3;185.50
abr-1968;1968;4;186.60
mai-1968;1968;5;188.00
jun-1968;1968;6;189.40
jul-1968;1968;7;190.50
ago-1968;1968;8;191.80
set-1968;1968;9;192.70
out-1968;1968;10;194.00
nov-1968;1968;11;196.00
dez-1968;1968;12;197.40
jan-1969;1969;1;198.70
fev-1969;1969;2;199.30
mar-1969;1969;3;200.00
abr-1969;1969;4;200.70
mai-1969;1969;5;200.80
jun-1969;1969;6;201.30
jul-1969;1969;7;201.70
ago-1969;1969;8;201.70
set-1969;1969;9;202.10
out-1969;1969;10;202.90
nov-1969;1969;11;203.60
dez-1969;1969;12;203.90
jan-1970;1970;1;206.20
fev-1970;1970;2;205.00
mar-1970;1970;3;205.70
abr-1970;1970;4;206.70
mai-1970;1970;5;207.20
jun-1970;1970;6;207.60
jul-1970;1970;7;208.00
ago-1970;1970;8;209.90
set-1970;1970;9;211.80
out-1970;1970;10;212.90
nov-1970;1970;11;213.70
dez-1970;1970;12;214.40
jan-1971;1971;1;215.50
fev-1971;1971;2;217.40
mar-1971;1971;3;218.80
abr-1971;1971;4;220.00
mai-1971;1971;5;222.00
jun-1971;1971;6;223.50
jul-1971;1971;7;224.90
ago-1971;1971;8;225.60
set-1971;1971;9;226.50
out-1971;1971;10;227.20
nov-1971;1971;11;227.80
dez-1971;1971;12;228.30
jan-1972;1972;1;230.10
fev-1972;1972;2;232.30
mar-1972;1972;3;234.30
abr-1972;1972;4;235.60
mai-1972;1972;5;235.90
jun-1972;1972;6;236.60
jul-1972;1972;7;238.80
ago-1972;1972;8;240.90
set-1972;1972;9;243.20
out-1972;1972;10;245.00
nov-1972;1972;11;246.40
dez-1972;1972;12;249.20
jan-1973;1973;1;251.50
fev-1973;1973;2;252.20
mar-1973;1973;3;251.70
abr-1973;1973;4;252.70
mai-1973;1973;5;254.90
jun-1973;1973;6;256.70
jul-1973;1973;7;257.50
ago-1973;1973;8;257.70
set-1973;1973;9;257.90
out-1973;1973;10;259.00
nov-1973;1973;11;261.00
dez-1973;1973;12;262.90
jan-1974;1974;1;263.80
fev-1974;1974;2;265.30
mar-1974;1974;3;266.70
abr-1974;1974;4;267.20
mai-1974;1974;5;267.60
jun-1974;1974;6;268.50
jul-1974;1974;7;269.30
ago-1974;1974;8;270.10
set-1974;1974;9;271.00
