obs;q;p;x
1975 ;66;88;4789
1976 ;67;87;5282
1977 ;71;83;5804
1978 ;73;89;6417
1979 ;78;98;7073
1980 ;75;107;7716
1981 ;81;111;8439
1982 ;82;98;8945
1983 ;71;108;9775
1984 ;81;111;10589
1985 ;85;98;11406
1986 ;82;87;12048
1987 ;84;86;12766
1988 ;80;104;13685
1989 ;86;109;14546
1990 ;90;103;15349
1991 ;90;101;15722
1992 ;96;101;16485
1993 ;91;102;17204
1994 ;101;105;18004
1995 ;96;112;18665
1996 ;100;127;19490
1997 ;104;115;20323
1998 ;105;107;21291
1999  ;108;97;22491
2000 ;108;96;23862
2001 ;108;99;24722
2002;107;105;25501
2003;108;111;26463
2004 ;112;117;27937
