obs;y1;y2;x1;x2;x3
1970 ;3.771,9;626,5;427,1;201,1;6,562
1971 ;3.898,6;710,3;475,7;220,0;4,511
1972 ;4.105,0;802,3;532,1;244,4;4,466
1973 ;4.341,5;855,5;594,4;261,7;7,178
1974 ;4.319,6;902,1;550,6;293,3;7,926
1975 ;4.311,2;1.016,2;453,1;346,2;6,122
1976 ;4.540,9;1.152,0;544,7;374,3;5,266
1977 ;4.750,5;1.270,3;627,0;407,5;5,510
1978 ;5.015,0;1.366,0;702,6;450,0;7,572
1979 ;5.173,4;1.473,7;725,0;497,5;10,017
1980 ;5.161,7;1.599,8;645,3;585,7;11,374
1981 ;5.291,7;1.755,4;704,9;672,7;13,776
1982 ;5.189,3;1.910,3;606,0;748,5;11,084
1983 ;5.423,8;2.126,5;662,5;815,4;8.75
1984 ;5.813,6;2.310,0;857,7;877,1;9.80
1985 ;6.053,7;2.495,7;849,7;948,2;7.66
1986 ;6.263,6;2.732,4;843,9;1.006,0;6.03
1987 ;6.475,1;2.831,4;870,0;1.041,6;6.05
1988 ;6.742,7;2.994,5;890,5;1.092,7;6.92
1989 ;6.981,4;3.158,5;926,2;1.167,5;8.04
1990 ;7.112,5;3.278,6;895,1;1.253,5;7.47
1991 ;7.100,5;3.379,1;822,2;1.315,0;5.49
1992 ;7.336,6;3.432,5;889,0;1.444,6;3.57
1993 ;7.532,7;3.484,0;968,3;1.496,0;3.14
1994 ;7.835,5;3.497,5;1.099,6;1.533,1;4.66
1995 ;8.031,7;3.640,4;1.134,0;1.603,5;5.59
1996 ;8.328,9;3.815,1;1.234,3;1.665,8;5.09
1997 ;8.703,5;4.031,6;1.387,7;1.708,9;5.18
1998 ;9.066,9;4.379,0;1.524,1;1.734,9;4.85
1999  ;9.470,3;4.641,1;1.642,6;1.787,6;4.76
2000 ;9.817,0;4.920,9;1.735,5;1.864,4;5.92
2001 ;9.890,7;5.430,3;1.598,4;1.969,5;3.39
2002;10.048,8;5.774,1;1.557,1;2.101,1;1.69
2003;10.301,0;6.062,0;1.613,1;2.252,1;1.06
2004 ;10.703,5;6.411,7;1.770,6;2.383,0;1.58
2005 ;11.048,6;6.669,4;1.866,3;2.555,9;3.40
