year;quarter;dpi;gdp;pce;cp;dividend
1947;1;1096;1570.519;1017.2;21.2;6
1947;2;1072.8;1568.653;1034;20;6.3
1947;3;1102.8;1567.966;1037.5;19.8;6.5
1947;4;1089.7;1590.938;1037.7;21.7;6.4
1948;1;1107.3;1616.069;1042.6;22.9;7
1948;2;1145.3;1644.637;1054.3;24.1;6.7
1948;3;1168.4;1654.061;1056.1;23.8;7.1
1948;4;1171.9;1657.988;1064.8;23;7.4
1949;1;1147.6;1633.249;1066.1;21;7.2
1949;2;1151.4;1628.439;1082.6;18.6;7.2
1949;3;1158.1;1646.698;1085;19.2;7.1
1949;4;1165.7;1629.911;1100.2;18.8;7.4
1950;1;1252.8;1696.765;1118.9;19.3;8.3
1950;2;1245.4;1747.322;1136.8;23.1;8.4
1950;3;1264.8;1815.845;1195.3;28;9.2
1950;4;1277.4;1848.928;1160.1;30.8;9.5
1951;1;1276.9;1871.311;1187.4;25.6;8.4
1951;2;1297.5;1903.118;1154.5;21.8;8.6
1951;3;1305.9;1941.109;1167.9;19.9;8.6
1951;4;1308.5;1944.447;1174.9;21.6;8.7
1952;1;1308.1;1964.67;1178.1;20.9;8.2
1952;2;1323.9;1966.044;1200.7;20;8.7
1952;3;1349.7;1978.806;1206;20.2;8.6
1952;4;1376;2043.795;1248.3;22.2;8.8
1953;1;1395;2082.277;1263.4;22.9;8.4
1953;2;1414.5;2098.083;1271.2;22.8;9.2
1953;3;1408.7;2085.419;1268.2;22.3;9
1953;4;1399.8;2052.532;1259.7;17.5;8.9
1954;1;1407.5;2042.42;1264.3;20.1;9.4
1954;2;1407.4;2044.286;1280.1;20.8;8.9
1954;3;1422.7;2066.865;1297.1;22.1;9.3
1954;4;1450.6;2107.801;1324;23.8;9.5
1955;1;1471.9;2168.47;1353.5;27;10
1955;2;1506.9;2204.008;1379.1;27.4;10.2
1955;3;1535.3;2233.36;1396.1;28;10.8
1955;4;1552.7;2245.337;1413.3;29.1;10.9
1956;1;1568.4;2234.833;1415.5;28.2;11.2
1956;2;1583.9;2252.504;1420.2;28.9;11.2
1956;3;1590.6;2249.755;1423.4;27.6;11.2
1956;4;1615.9;2286.47;1442.8;29.2;11.6
1957;1;1618.9;2300.312;1452.7;29.5;11.6
1957;2;1629.5;2294.618;1455.1;28.2;11.8
1957;3;1637.5;2317.001;1467;27.6;11.9
1957;4;1628.2;2292.459;1467.8;25.3;11.7
1958;1;1613.2;2230.219;1447.3;21.6;11.6
1958;2;1623.7;2243.374;1458.9;22;11.7
1958;3;1656.8;2295.207;1482.2;24.5;11.7
1958;4;1677.1;2348.023;1500.9;27.9;11.4
