year;month;tb3m;tb6m
1981;1;15.02;14.08
1981;2;14.79;14.05
1981;3;13.36;12.81
1981;4;13.69;13.45
1981;5;16.30;15.29
1981;6;14.73;14.09
1981;7;14.95;14.74
1981;8;15.51;15.52
1981;9;14.70;14.92
1981;10;13.54;13.82
1981;11;10.86;11.30
1981;12;10.85;11.52
1982;1;12.28;12.83
1982;2;13.48;13.61
1982;3;12.68;12.77
1982;4;12.70;12.80
1982;5;12.09;12.16
1982;6;12.47;12.70
1982;7;11.35;11.88
1982;8;8.68;9.88
1982;9;7.92;9.37
1982;10;7.71;8.29
1982;11;8.07;8.34
1982;12;7.94;8.16
1983;1;7.86;7.93
1983;2;8.11;8.23
1983;3;8.35;8.37
1983;4;8.21;8.30
1983;5;8.19;8.22
1983;6;8.79;8.89
1983;7;9.08;9.26
1983;8;9.34;9.51
1983;9;9.00;9.15
1983;10;8.64;8.83
1983;11;8.76;8.93
1983;12;9.00;9.17
1984;1;8.90;9.01
1984;2;9.09;9.18
1984;3;9.52;9.66
1984;4;9.69;9.84
1984;5;9.83;10.31
1984;6;9.87;10.51
1984;7;10.12;10.52
1984;8;10.47;10.61
1984;9;10.37;10.47
1984;10;9.74;9.87
1984;11;8.61;8.81
1984;12;8.06;8.28
1985;1;7.76;8.00
1985;2;8.27;8.39
1985;3;8.52;8.90
1985;4;7.95;8.23
1985;5;7.48;7.65
1985;6;6.95;7.09
1985;7;7.08;7.20
1985;8;7.14;7.32
1985;9;7.10;7.27
1985;10;7.16;7.33
1985;11;7.24;7.30
1985;12;7.10;7.14
1986;1;7.07;7.16
1986;2;7.06;7.11
1986;3;6.56;6.57
1986;4;6.06;6.08
1986;5;6.15;6.19
1986;6;6.21;6.27
1986;7;5.83;5.86
1986;8;5.53;5.55
1986;9;5.21;5.35
1986;10;5.18;5.26
1986;11;5.35;5.41
1986;12;5.53;5.55
1987;1;5.43;5.44
1987;2;5.59;5.59
1987;3;5.59;5.60
1987;4;5.64;5.90
1987;5;5.66;6.05
1987;6;5.67;5.99
1987;7;5.69;5.76
1987;8;6.04;6.15
1987;9;6.40;6.64
1987;10;6.13;6.69
1987;11;5.69;6.19
1987;12;5.77;6.36
1988;1;5.81;6.25
1988;2;5.66;5.93
1988;3;5.70;5.91
1988;4;5.91;6.21
1988;5;6.26;6.56
1988;6;6.46;6.71
1988;7;6.73;6.99
1988;8;7.06;7.39
1988;9;7.24;7.43
