occupation;smoking;cancer
Farmers, foresters, ﬁshermen;77;84
Miners and quarrymen;137;116
Gas, coke, and chemical makers;117;123
Glass and ceramic makers;94;128
Furnace forge foundry workers;116;155
Electrical and electronic workers;102;101
Engineering and allied trades;111;118
Wood workers;93;113
Leather workers;88;104
Textile workers;102;88
Clothing workers;91;104
Food, drink, and tobacco workers;104;129
Paper and printing workers;107;86
Makers of other products;112;96
Construction workers;113;144
Painters and decorators;110;139
Drivers of engines, cranes, etc.;125;113
Laborers not included elsewhere;113;146
Transportation, and communication workers;115;128
Warehousemen, store keepers, etc;105;115
Clerical workers;87;79
Sales workers;91;85
Service, sports, recreation workers;100;120
Administrators and managers;76;60
Artists and professional and technical workers;66;51
