year;gnp;m1;m2;m3;l
1970;992.70;216.6;628.2;677.5;816.3
1971;1,077.6;230.8;712.8;776.2;903.1
1972;1,185.9;252.0;712.8;886.0;1,023.0
1973;1,326.4;265.9;861.0;985.0;1,141.7
1974;1,434.2;277.6;908.5;1,070.5;1,249.3
1975;1,549.2;291.2;1,023.3;1,174.2;1,367.9
1976;1,718.0;310.4;1,163.6;1,311.9;1,516.6
1977;1,918.3;335.4;1,286.7;1,472.9;1,704.7
1978;2,163.9;363.1;1,389.1;1,647.1;1,910.6
1979;2,417.8;389.1;1,498.5;1,804.8;2,117.1
1980;2,631.7;414.9;1,632.6;1,990.0;2,326.2
1981;2,957.8;441.9;1,796.6;2,238.2;2,599.8
1982;3,069.3;480.5;1,965.4;2,462.5;2,870.8
1983;3,304.8;525.4;2,196.3;2,710.4;3,183.1
