country;bmcplc;bmcpd;ippp;ader;u_o_vag
United States;$3.22;3.22;;;
Argentina;Peso 8.25;2.65;2.56;3.11;-18
Australia;A$3.45;2.67;1.07;1.29;-17
Brazil;Real 6.4;3.01;1.99;2.13;-6
Britain;£1.99;3.90;1.62;1.96;21
Canada;C$3.63;3.08;1.13;1.18;-4
Chile;Peso 1,670;3.07;519;544;-5
China;Yuan 11.0;1.41;3.42;2.77;-56
Colombia;Peso 6,900;3.06;2,143;2,254;-5
Costa Rica;Colones 1,130;2.18;351;519;-32
Czech Republic;Koruna 52.1;2.41;16.2;21.6;-25
Denmark;DKr27.75;4.84;8.62;5.74;50
Egypt;Pound 9.09;1.60;2.82;5.70;-50
Estonia;Kroon 30;2.49;9.32;12.0;-23
Euro area;€2.94;3.82;1.10;1.30;19
Hong Kong;HK$12.0;1.54;3.73;7.81;-52
Hungary;Forint 590;3.00;183;197;-7
Iceland;Kronur 509;7.44;158;68.4;131
Indonesia;Rupiah 15,900;1.75;4,938;9,1;-46
Japan;¥280;2.31;87.0;121;-28
Latvia;Lats 1.35;2.52;0.42;0.54;-22
Lithuania;Litas 6.50;2.45;2.02;2.66;-24
Malaysia;Ringgit 5.50;1.57;1.71;3.50;-51
Mexico;Peso 29.0;2.66;9.01;10.9;-17
New Zealand;NZ$4.60;3.16;1.43;1.45;-2
Norway;Kroner 41.5;6.63;12.9;6.26;106
Pakistan;Rupee 140;2.31;43.5;60.7;-28
Paraguay;Guarani 10,000;1.90;3,106;5,25;-41
Peru;New Sol 9.50;2.97;2.95;3.20;-8
Philippines;Peso 85.0;1.74;26.4;48.9;-46
Poland;Zloty 6.90;2.29;2.14;3.01;-29
Russia;Rouble 49.0;1.85;15.2;26.5;-43
Saudi Arabia;Riyal 9.00;2.40;2.80;3.75;-25
Singapore;S$3.60;2.34;1.12;1.54;-27
Slovakia;Crown 57.98;2.13;18.0;27.2;-34
South Africa;Rand 15.5;2.14;4.81;7.25;-34
South Korea;Won 2,900;3.08;901;942;-4
Sri Lanka;Rupee 190;1.75;59.0;109;-46
Sweden;SKr32.0;4.59;9.94;6.97;43
Switzerland;SFr6.30;5.05;1.96;1.25;57
Taiwan;NT$75.0;2.28;23.3;32.9;-29
Thailand;Baht 62.0;1.78;19.3;34.7;-45
Turkey;Lire 4.55;3.22;1.41;1.41;0
UAE;Dirhams 10.0;2.72;4.11;3.67;-15
Ukraine;Hryvnia 9.00;1.71;2.80;5.27;-47
Uruguay;Peso 55.0;2.17;17.1;25.3;-33
Venezuela;Bolivar 6,800;1.58;2,112;4,307;-51
