obs;y;x
1980/01;6.080228;7.263448
1980/02;-0.924186;6.339896
1980/03;-3.286174;-9.285217
1980/04;5.211977;0.793291
1980/05;-16.16421;-2.902421
1980/06;-1.054704;8.613151
1980/07;11.17238;3.982063
1980/08;-11.06328;-1.150171
1980/09;-16.777;3.486126
1980/10;-7.021834;4.32985
1980/11;-9.716846;0.936875
1980/12;5.215706;-5.202456
1981/01;-6.612001;-2.082757
1981/02;4.264498;2.728523
1981/03;4.916711;0.653397
1981/04;22.20496;6.436072
1981/05;-11.29869;-4.259198
1981/06;-5.770508;0.54391
1981/07;-5.217765;-0.486846
1981/08;16.1962;2.844
1981/09;-17.16995;-16.45721
1981/10;1.105335;4.468938
1981/11;11.68534;5.88552
1981/12;-2.301452;-0.390698
1982/01;8.643728;2.499568
1982/02;-11.12908;-4.033607
1982/03;1.724628;3.042526
1982/04;0.15788;0.734565
1982/05;-1.875203;2.779732
1982/06;-10.62482;-5.900116
1982/07;-5.761136;3.005344
1982/08;5.481432;3.954991
1982/09;-17.02207;2.547127
1982/10;7.625421;4.329008
1982/11;-6.575722;0.191941
1982/12;-2.37283;-0.921676
1983/01;17.52375;3.394683
1983/02;1.354656;0.758714
1983/03;16.26861;1.862074
1983/04;-6.074547;6.797751
1983/05;-0.826651;-1.699254
1983/06;3.807882;4.092592
1983/07;0.575701;-2.926299
1983/08;3.755563;1.773424
1983/09;-5.365927;-2.800816
1983/10;-3.750303;-1.505395
1983/11;4.898752;4.186963
1983/12;4.379256;1.201417
1984/01;16.56016;6.769321
1984/02;1.523127;-1.686027
1984/03;1.020608;5.245806
1984/04;-3.899308;1.72871
1984/05;-14.32502;-7.279076
1984/06;3.056627;-0.779471
1984/07;-0.021536;-2.439635
1984/08;3.355102;8.445978
1984/09;0.100007;1.22108
1984/10;1.69125;2.733387
1984/11;8.200753;5.127533
1984/12;3.527866;3.191555
1985/01;4.554588;3.907839
1985/02;5.365479;-1.708568
1985/03;4.525231;0.435219
1985/04;2.944654;0.958068
1985/05;-0.2686;1.095477
1985/06;-3.661041;-6.816109
1985/07;-4.540505;2.785054
1985/08;9.195292;3.900209
1985/09;-1.894817;-4.203004
1985/10;12.00661;5.601798
1985/11;1.233987;1.570094
1985/12;-1.44633;-1.084427
1986/01;6.023619;0.77867
1986/02;10.51236;6.470651
1986/03;13.40071;8.953781
1986/04;-7.796263;-2.387762
1986/05;0.21154;-2.873839
1986/06;6.471111;3.440269
1986/07;-9.037476;-5.891053
1986/08;-5.478381;6.375582
1986/09;-6.756882;-5.734839
1986/10;-2.56496;3.630884
1986/11;2.456599;-1.316067
1986/12;1.476421;3.521601
1987/01;17.0694;8.673413
1987/02;7.565727;6.914362
1987/03;-3.239326;-0.460661
1987/04;3.662578;4.295976
1987/05;7.157455;7.719693
1987/06;4.774901;3.039888
1987/07;4.237702;2.510224
1987/08;-0.881352;-3.039443
1987/09;11.49688;3.787092
1987/10;-35.56618;-27.86969
1987/11;-14.59137;-9.956367
1987/12;14.87272;7.975866
1988/01;1.748599;3.936938
1988/02;-0.606016;-0.327971
1988/03;-6.078095;-2.161544
1988/04;3.976154;2.721788
1988/05;-1.05091;-0.514825
1988/06;3.317857;3.128797
1988/07;0.4071;0.181502
1988/08;-11.87932;-7.892364
1988/09;-8.801026;3.347082
1988/10;6.784211;3.158592
1988/11;-10.20578;-4.81647
1988/12;-6.738054;-0.00855
1989/01;12.83904;13.46098
1989/02;3.302861;-0.764475
1989/03;-0.155918;2.298491
1989/04;3.623091;0.762075
1989/05;-1.167681;-0.495796
1989/06;-1.221603;1.206636
1989/07;5.262903;4.637026
1989/08;4.845013;2.680874
1989/09;-5.069565;-5.303858
1989/10;-13.57964;-7.210656
1989/11;1.100608;5.350186
1989/12;4.925083;4.106246
1990/01;-2.532069;-3.629547
1990/02;-6.601873;-5.205804
1990/03;-1.023769;-2.183245
1990/04;-7.097917;-5.408564
1990/05;6.376627;10.57599
1990/06;1.861975;-0.338612
1990/07;-5.591527;-2.213162
1990/08;-15.31759;-8.476177
1990/09;-10.17227;-7.459414
1990/10;-2.217396;-0.085888
1990/11;5.974206;5.03477
1990/12;-0.857289;-1.767715
1991/01;-3.780185;0.189108
1991/02;20.64721;10.38741
1991/03;10.94068;2.921914
1991/04;-3.14564;0.97172
1991/05;-3.142888;-0.431782
1991/06;-1.960866;-3.342925
1991/07;7.330964;5.242812
1991/08;7.854388;2.880655
1991/09;2.539178;-1.121472
1991/10;-1.233245;-3.969578
1991/11;-11.74604;-5.707995
1991/12;1.078226;1.502567
1992/01;5.937905;2.599565
1992/02;4.113184;0.135881
1992/03;-0.655199;-6.146138
1992/04;15.2843;10.45737
1992/05;3.994518;1.415987
1992/06;-11.94451;-8.261109
1992/07;-2.530701;-3.778812
1992/08;-9.842366;-5.386818
1992/09;18.11574;11.19436
1992/10;0.20095;3.99987
1992/11;1.125853;3.620675
1992/12;7.639181;2.887222
1993/01;2.919569;1.336746
1993/02;-1.062404;1.240274
1993/03;1.292641;0.407144
1993/04;0.420241;-1.73493
1993/05;-2.514081;1.111534
1993/06;0.419362;1.354128
1993/07;4.374024;1.943062
1993/08;1.733528;4.96198
1993/09;-3.659809;-1.61873
1993/10;5.856908;4.215409
1993/11;-1.36555;1.88036
1993/12;-1.346979;5.826353
1994/01;12.89579;2.973541
1994/02;-5.346701;-5.479858
1994/03;-7.614727;-5.784547
1994/04;10.22043;1.157083
1994/05;-6.928422;-6.356199
1994/06;-5.065919;-0.843584
1994/07;7.483499;5.779953
1994/08;1.828763;3.29813
1994/09;-5.692933;-7.11001
1994/10;-2.426962;2.968006
1994/11;2.125101;-1.531245
1994/12;-4.225371;0.26428
1995/01;-6.302392;-2.420388
1995/02;1.278676;0.138795
1995/03;10.90891;3.231657
1995/04;2.497849;2.215805
1995/05;2.891527;3.856814
1995/06;-3.773;-0.952204
1995/07;8.776289;4.020036
1995/08;2.882561;1.4236
1995/09;2.146913;-0.037913
1995/10;-4.590105;-1.176553
1995/11;-1.293255;3.760277
1995/12;-4.244102;0.434626
1996/01;6.647089;1.906345
1996/02;1.635901;0.301899
1996/03;7.85819;-0.314132
1996/04;0.789545;3.034332
1996/05;-0.907725;-1.497346
1996/06;-0.392247;-0.894677
1996/07;-1.035896;-0.532816
1996/08;2.556816;3.863737
1996/09;3.13183;2.118255
1996/10;-0.020947;-0.853553
1996/11;-5.312288;1.770341
1996/12;-5.196177;1.702552
1997/01;-0.753247;3.465753
1997/02;-2.474344;1.115253
1997/03;2.476478;-2.057818
1997/04;-1.119104;3.570899
1997/05;3.352076;1.95348
1997/06;-1.910172;2.4587
1997/07;0.142815;2.992341
1997/08;10.50199;-0.457968
1997/09;12.98502;8.111279
1997/10;-4.134762;-6.967124
1997/11;-4.14858;-0.155925
1997/12;-1.752478;3.853283
1998/01;-3.349122;7.379466
1998/02;14.07471;4.299098
1998/03;7.791651;3.41078
1998/04;5.154679;-0.081495
1998/05;3.293686;-1.613131
1998/06;-13.25462;-0.397289
1998/07;-7.714206;-2.237365
1998/08;-15.2634;-12.4632
1998/09;-15.22865;-5.170735
1998/10;15.96218;11.70545
1998/11;-8.684089;-0.3802
