obs;product;adexp;conexp;ratio;lnadexp;lnconexp;1/adexp;1/conexp
1;Beer;87957;13599;0,006468;11.3846033376751;9.51775153960896;1.13691917641575E-05;7.35348187366718E-05
2;Spirits;23578;4699;0,005018;10.0680693528521;8.45510499910282;4.24124183560947E-05;0.000212811236433284
3;Wines;16345;5473;0,002986;9.70167731915831;8.60758219114392;6.11807892321811E-05;0.000182715147085693
4;Men's outerwear;6550;6119;0,00107;8.7872203286293;8.71915396346254;0.000152671755725191;0.000163425396306586
5;Women's outerwear;10230;8811;0,001161;9.23307985894567;9.08375621986673;9.77517106549364E-05;0.000113494495516967
6;Trainers;9127;1142;0,007992;9.11899233251688;7.04053639021596;0.000109565026843432;0.000875656742556918
7;Electric Cookers;1675;143;0,011713;7.42356844425917;4.96284463025991;0.000597014925373134;0.00699300699300699
8;Dishwasher;1110;138;0,008043;7.01211529430638;4.92725368515721;0.000900900900900901;0.0072463768115942
9;Hair dryers and stylers;3351;85;0,039424;8.11701408773731;4.44265125649032;0.000298418382572366;0.0117647058823529
10;Kettles & coffee machines;1140;108;0,010556;7.03878354138854;4.68213122712422;0.00087719298245614;0.00925925925925926
11;Vacuum cleaners;6376;307;0,020769;8.76029622047005;5.7268477475872;0.000156838143036386;0.00325732899022801
12;Television sets;4500;1545;0,002913;8.41183267575841;7.34277918933185;0.000222222222222222;0.000647249190938511
13;Video recorders;1899;943;0,002014;7.54908271081229;6.84906628263346;0.000526592943654555;0.00106044538706257
14;Video games;10101;369;0,027374;9.22038970782918;5.91079664404053;9.9000099000099E-05;0.002710027100271
15;Baby food;3831;285;0,013442;8.25088114470065;5.65248918026865;0.000261028452101279;0.00350877192982456
16;Cereals;99528;1052;0,094608;11.5081942905943;6.95844839329766;1.00474238405273E-05;0.000950570342205323
17;Football poos & lotteries;15855;862;0,018393;9.67124018697245;6.75925527066369;6.30715862503942E-05;0.00116009280742459
18;Air Freshners;8827;84;0,105083;9.08557048502023;4.43081679884331;0.000113288773082588;0.0119047619047619
19;Magazines;54517;1174;0,046437;10.9062678586179;7.06817200038804;1.83429022139883E-05;0.000851788756388416
20;Newspapers;49593;2531;0,019594;10.8116049737211;7.83636976054512;2.01641360675902E-05;0.000395100750691426
21;Cinema;39664;408;0,097216;10.588199254275;6.01126717440416;2.52117789431222E-05;0.00245098039215686
22;Musical instruments;327;295;0,001108;5.78996017089725;5.68697535633982;0.00305810397553517;0.00338983050847458
23;Watches;22549;488;0,046207;10.0234459980495;6.19031540585315;4.43478646503171E-05;0.00204918032786885
24;New motor cars;416422;19200;0,021689;12.9394544481409;9.86266555801587;2.40141010801543E-06;5.20833333333333E-05
25;Cold treatments;14212;94;0,151191;9.56184195714092;4.54329478227;7.03630734590487E-05;0.0106382978723404
26;Fast food/take-away;54174;5320;0,010183;10.8999563675355;8.57922858233569;1.84590393915901E-05;0.00018796992481203
27;Deodorants;20218;357;0,056633;9.914328575714;5.87773578177964;4.94608764467306E-05;0.00280112044817927
28;Razors & blades, disposable;11041;159;0,06944;9.30937089543914;5.06890420222023;9.05715062041482E-05;0.00628930817610063
29;Toothpaste;22542;244;0,092385;10.023135514802;5.4971682252932;4.43616360571378E-05;0.00409836065573771
