obs;cm;flfp;pgnp;tfr
1;128;37;1870;6.66
2;204;22;130;6.15
3;202;16;310;7
4;197;65;570;6.25
5;96;76;2050;3.81
6;209;26;200;6.44
7;170;45;670;6.19
8;240;29;300;5.89
9;241;11;120;5.89
10;55;55;290;2.36
11;75;87;1180;3.93
12;129;55;900;5.99
13;24;93;1730;3.5
14;165;31;1150;7.41
15;94;77;1160;4.21
16;96;80;1270;5
17;148;30;580;5.27
18;98;69;660;5.21
19;161;43;420;6.5
20;118;47;1080;6.12
21;269;17;290;6.19
22;189;35;270;5.05
23;126;58;560;6.16
24;12;81;4240;1.8
25;167;29;240;4.75
26;135;65;430;4.1
27;107;87;3020;6.66
28;72;63;1420;7.28
29;128;49;420;8.12
30;27;63;19830;5.23
31;152;84;420;5.79
32;224;23;530;6.5
33;142;50;8640;7.17
34;104;62;350;6.6
35;287;31;230;7
36;41;66;1620;3.91
37;312;11;190;6.7
38;77;88;2090;4.2
39;142;22;900;5.43
40;262;22;230;6.5
41;215;12;140;6.25
42;246;9;330;7.1
43;191;31;1010;7.1
44;182;19;300;7
45;37;88;1730;3.46
46;103;35;780;5.66
47;67;85;1300;4.82
48;143;78;930;5
49;83;85;690;4.74
50;223;33;200;8.49
51;240;19;450;6.5
52;312;21;280;6.5
53;12;79;4430;1.69
54;52;83;270;3.25
55;79;43;1340;7.17
56;61;88;670;3.52
57;168;28;410;6.09
58;28;95;4370;2.86
59;121;41;1310;4.88
60;115;62;1470;3.89
61;186;45;300;6.9
62;47;85;3630;4.1
63;178;45;220;6.09
64;142;67;560;7.2 
