year;inflrate;unrate
1960;1.718;5.5
1961;1.014;6.7
1962;1.003;5.5
1963;1.325;5.7
1964;1.307;5.2
1965;1.613;4.5
1966;2.857;3.8
1967;3.086;3.8
1968;4.192;3.6
1969;5.460;3.5
1970;5.722;4.9
1971;4.381;5.9
1972;3.210;5.6
1973;6.220;4.9
1974;11.036;5.6
1975;9.128;8.5
1976;5.762;7.7
1977;6.503;7.1
1978;7.591;6.1
1979;11.350;5.8
1980;13.499;7.1
1981;10.316;7.6
1982;6.161;9.7
1983;3.212;9.6
1984;4.317;7.5
1985;3.561;7.2
1986;1.859;7
1987;3.650;6.2
1988;4.137;5.5
1989;4.818;5.3
1990;5.403;5.6
1991;4.208;6.8
1992;3.010;7.5
1993;2.994;6.9
1994;2.561;6.1
1995;2.834;5.6
1996;2.953;5.4
1997;2.294;4.9
1998;1.558;4.5
1999;2.209;4.2
2000;3.361;4
2001;2.846;4.7
2002;1.581;5.8
2003;2.279;6
2004;2.663;5.5
2005;3.388;5.1
2006;3.226;4.6
