wfood;wfuel;wcloth;wacl;wtrans;wother;totexp;income;age;nk;food;fuel;cloth;alc;trans;other
0.4272;0.1342;0;0.0106;0.1458;0.2822;50;130;25;2;21.36;6.71;0;0.53;7.29;14.11
0.3739;0.1686;0.0091;0.0825;0.1215;0.2444;90;150;39;2;33.651;15.174;0.819;7.425;10.935;21.996
0.1941;0.4056;0.0012;0.0513;0.2063;0.1415;180;230;47;2;34.938;73.008;0.216;9.234;37.134;25.47
0.4438;0.1258;0.0539;0.0397;0.0652;0.2716;80;100;33;2;35.504;10.064;4.312;3.176;5.216;21.728
0.3331;0.0824;0.0399;0.1571;0.2403;0.1473;90;100;31;1;29.979;7.416;3.591;14.139;21.627;13.257
0.3752;0.0481;0.117;0.021;0.0955;0.3431;70;70;24;1;26.264;3.367;8.19;1.47;6.685;24.017
0.2568;0.0909;0.0453;0.0153;0.0227;0.5689;140;190;46;1;35.952;12.726;6.342;2.142;3.178;79.646
0.4533;0.2105;0.1131;0.0161;0;0.207;50;100;25;1;22.665;10.525;5.655;0.805;0;10.35
0.3279;0.1053;0.1671;0.0293;0.0433;0.3272;100;260;30;1;32.79;10.53;16.71;2.93;4.33;32.72
0.4608;0.0612;0.023;0.0338;0.1901;0.231;90;110;41;1;41.472;5.508;2.07;3.042;17.109;20.79
0.3447;0.0392;0.2547;0;0.0672;0.2942;100;100;48;2;34.47;3.92;25.47;0;6.72;29.42
0.4491;0.0541;0.1617;0.1133;0.0397;0.1821;100;100;24;1;44.91;5.41;16.17;11.33;3.97;18.21
0.4439;0.1023;0.0018;0.057;0.119;0.2759;80;100;28;2;35.512;8.184;0.144;4.56;9.52;22.072
0.209;0.2156;0.0728;0;0.2824;0.2202;40;120;31;2;8.36;8.624;2.912;0;11.296;8.808
0.2706;0.0441;0.201;0.0986;0.1037;0.2821;70;70;32;1;18.942;3.087;14.07;6.902;7.259;19.747
0.5536;0.1011;0.0501;0.0011;0.1981;0.0961;70;130;47;2;38.752;7.077;3.507;0.077;13.867;6.727
0.5195;0.081;0.0722;0.1354;0.0799;0.1119;50;90;32;2;25.975;4.05;3.61;6.77;3.995;5.595
0.2396;0.0383;0.0727;0.1182;0.1889;0.3423;150;140;38;2;35.94;5.745;10.905;17.73;28.335;51.345
0.2846;0.0405;0.1511;0;0.1235;0.4003;120;140;45;1;34.152;4.86;18.132;0;14.82;48.036
0.3472;0.0684;0.0454;0.0248;0.2555;0.2587;50;130;28;1;17.36;3.42;2.27;1.24;12.775;12.935
0.4715;0.0478;0.0931;0.0991;0.0608;0.2276;80;90;29;1;37.72;3.824;7.448;7.928;4.864;18.208
0.3284;0.0842;0.0246;0.0548;0.281;0.227;70;100;34;1;22.988;5.894;1.722;3.836;19.67;15.89
0.4574;0.1023;0.0506;0.0753;0.1062;0.2082;140;260;43;2;64.036;14.322;7.084;10.542;14.868;29.148
0.3102;0.0748;0.1451;0.0494;0.1319;0.2886;100;250;33;1;31.02;7.48;14.51;4.94;13.19;28.86
0.3429;0.1121;0.0054;0.1143;0.1074;0.3179;60;150;47;2;20.574;6.726;0.324;6.858;6.444;19.074
0.1851;0.2185;0.018;0.0087;0.1496;0.42;80;200;53;2;14.808;17.48;1.44;0.696;11.968;33.6
0.4079;0.1361;0.2388;0.041;0.0224;0.1539;50;130;29;2;20.395;6.805;11.94;2.05;1.12;7.695
0.5911;0.2189;0.0392;0.009;0.0068;0.1351;70;170;40;2;41.377;15.323;2.744;0.63;0.476;9.457
0.4152;0.095;0.0788;0.0237;0.1268;0.2604;60;120;33;2;24.912;5.7;4.728;1.422;7.608;15.624
0.3459;0.0739;0.3875;0.0029;0.0886;0.1011;90;110;57;1;31.131;6.651;34.875;0.261;7.974;9.099
0.4885;0.0973;0.0077;0.0309;0.0911;0.2845;100;130;43;2;48.85;9.73;0.77;3.09;9.11;28.45
0.4478;0.1679;0.0085;0.1314;0.057;0.1874;50;60;32;1;22.39;8.395;0.425;6.57;2.85;9.37
0.4094;0.1293;0.131;0;0.0426;0.2877;60;100;25;2;24.564;7.758;7.86;0;2.556;17.262
0.4934;0.0888;0.1428;0.0354;0;0.2397;90;150;29;2;44.406;7.992;12.852;3.186;0;21.573
0.2901;0.0496;0.0458;0.1176;0.2903;0.2066;150;140;38;2;43.515;7.44;6.87;17.64;43.545;30.99
0.2663;0.0815;0.2943;0.0405;0.0983;0.2191;120;200;34;2;31.956;9.78;35.316;4.86;11.796;26.292
0.3813;0.1058;0.0662;0.1055;0.0681;0.2731;160;210;36;2;61.008;16.928;10.592;16.88;10.896;43.696
0.4107;0.1127;0.153;0.0517;0.0608;0.2111;90;140;50;1;36.963;10.143;13.77;4.653;5.472;18.999
0.434;0.061;0.2702;0.05;0.0739;0.1108;80;120;28;1;34.72;4.88;21.616;4;5.912;8.864
0.3216;0.0873;0.1808;0.0816;0.1345;0.1942;100;170;34;2;32.16;8.73;18.08;8.16;13.45;19.42
0.3827;0.0733;0.1046;0.005;0.1388;0.2956;70;120;23;2;26.789;5.131;7.322;0.35;9.716;20.692
0.3867;0.1562;0.0033;0.0244;0.2595;0.17;100;100;47;2;38.67;15.62;0.33;2.44;25.95;17
0.393;0.0975;0.0058;0;0.0737;0.43;70;210;36;2;27.51;6.825;0.406;0;5.159;30.1
0.3586;0.1278;0.0419;0.075;0.1851;0.2116;110;150;44;1;39.446;14.058;4.609;8.25;20.361;23.276
0.285;0.1005;0.0662;0;0.031;0.5172;60;100;20;1;17.1;6.03;3.972;0;1.86;31.032
0.3926;0.1081;0.0542;0.1326;0.1295;0.183;90;140;35;2;35.334;9.729;4.878;11.934;11.655;16.47
0.3527;0.2433;0.1605;0.0525;0;0.191;70;70;23;1;24.689;17.031;11.235;3.675;0;13.37
0.345;0.1207;0.1109;0.0932;0.1256;0.2047;60;130;29;1;20.7;7.242;6.654;5.592;7.536;12.282
0.2629;0.0919;0;0.0087;0.2688;0.3677;140;200;32;2;36.806;12.866;0;1.218;37.632;51.478
0.3875;0.0531;0.0796;0.1217;0.2036;0.1545;80;110;35;2;31;4.248;6.368;9.736;16.288;12.36
0.2917;0.0966;0.1156;0.1295;0.1624;0.2043;80;170;26;1;23.336;7.728;9.248;10.36;12.992;16.344
0.3149;0.1078;0.1846;0.0674;0.1825;0.1429;100;80;30;2;31.49;10.78;18.46;6.74;18.25;14.29
0.175;0.0488;0.2889;0.0571;0.1013;0.3288;140;140;30;1;24.5;6.832;40.446;7.994;14.182;46.032
0.3749;0.0948;0.161;0.0286;0.2258;0.115;90;110;29;1;33.741;8.532;14.49;2.574;20.322;10.35
0.1839;0.0611;0.0928;0.0046;0.0771;0.5805;190;170;49;1;34.941;11.609;17.632;0.874;14.649;110.295
0.2186;0.0637;0.2845;0.022;0.0041;0.4072;280;340;41;2;61.208;17.836;79.66;6.16;1.148;114.016
0.4155;0.0655;0.1902;0.046;0.1114;0.1715;100;130;47;2;41.55;6.55;19.02;4.6;11.14;17.15
0.3472;0.272;0.1102;0.0185;0;0.2522;80;90;24;1;27.776;21.76;8.816;1.48;0;20.176
0.4649;0.1221;0.0517;0;0.013;0.3484;90;110;51;1;41.841;10.989;4.653;0;1.17;31.356
0.2423;0.0783;0.1495;0.0183;0.2831;0.2285;110;140;35;2;26.653;8.613;16.445;2.013;31.141;25.135
0.4419;0.1118;0.106;0;0.0644;0.2759;60;90;47;1;26.514;6.708;6.36;0;3.864;16.554
0.354;0.0403;0.1012;0.1488;0.0968;0.259;130;150;29;1;46.02;5.239;13.156;19.344;12.584;33.67
0.4502;0.0873;0.0254;0;0.1168;0.3203;100;110;29;2;45.02;8.73;2.54;0;11.68;32.03
0.3358;0.0885;0.2637;0.0308;0.0121;0.2692;80;130;38;2;26.864;7.08;21.096;2.464;0.968;21.536
0.3719;0.1238;0.0155;0.0264;0.1704;0.292;90;140;38;2;33.471;11.142;1.395;2.376;15.336;26.28
0.6465;0.1456;0.0049;0.0905;0.0175;0.095;40;70;32;2;25.86;5.824;0.196;3.62;0.7;3.8
0.5217;0.1501;0.1491;0;0.012;0.1671;50;90;29;2;26.085;7.505;7.455;0;0.6;8.355
0.3585;0.0949;0.0834;0;0.0303;0.4329;70;130;34;2;25.095;6.643;5.838;0;2.121;30.303
0.277;0.1057;0.0098;0.2525;0.117;0.238;90;150;26;2;24.93;9.513;0.882;22.725;10.53;21.42
0.5348;0.0653;0.198;0.0473;0.0372;0.1173;130;110;33;2;69.524;8.489;25.74;6.149;4.836;15.249
0.4984;0.1373;0.0147;0.1072;0.0761;0.1663;40;80;47;1;19.936;5.492;0.588;4.288;3.044;6.652
0.4223;0.0995;0.1582;0.0666;0.0008;0.2526;90;80;28;2;38.007;8.955;14.238;5.994;0.072;22.734
0.4533;0.0674;0.0596;0;0.0435;0.3763;130;90;25;1;58.929;8.762;7.748;0;5.655;48.919
0.4202;0.0594;0.0419;0.0465;0.1888;0.2431;70;90;28;2;29.414;4.158;2.933;3.255;13.216;17.017
0.4362;0.0823;0.1914;0.0313;0.134;0.1248;110;150;40;2;47.982;9.053;21.054;3.443;14.74;13.728
0.3533;0.0906;0.02;0.2029;0.0061;0.3271;80;160;24;1;28.264;7.248;1.6;16.232;0.488;26.168
0.1946;0.2067;0.0927;0.1957;0.0461;0.2643;360;220;41;1;70.056;74.412;33.372;70.452;16.596;95.148
0.5833;0.1343;0.0217;0.0332;0.0443;0.1833;60;90;33;1;34.998;8.058;1.302;1.992;2.658;10.998
0.3788;0.0935;0.2294;0.0387;0.1496;0.11;90;200;32;2;34.092;8.415;20.646;3.483;13.464;9.9
0.0954;0.0382;0.0017;0.0279;0.7638;0.0729;310;270;36;1;29.574;11.842;0.527;8.649;236.778;22.599
0.1541;0.0884;0.2278;0.0332;0.0381;0.4583;170;130;52;1;26.197;15.028;38.726;5.644;6.477;77.911
0.3933;0.0417;0.1393;0.0679;0.2598;0.098;210;120;38;1;82.593;8.757;29.253;14.259;54.558;20.58
0.3059;0.1931;0.0144;0.0378;0.3145;0.1343;70;130;30;1;21.413;13.517;1.008;2.646;22.015;9.401
0.3127;0.0945;0.0451;0.0087;0.3588;0.1802;100;100;46;2;31.27;9.45;4.51;0.87;35.88;18.02
0.4432;0.2583;0;0;0;0.2985;40;70;29;1;17.728;10.332;0;0;0;11.94
0.545;0.168;0.0168;0.0511;0;0.219;40;80;28;1;21.8;6.72;0.672;2.044;0;8.76
0.4724;0.0722;0.0306;0;0.2516;0.1732;50;100;59;1;23.62;3.61;1.53;0;12.58;8.66
0.44;0.102;0.0038;0.2166;0.1364;0.1012;90;110;39;1;39.6;9.18;0.342;19.494;12.276;9.108
0.3212;0.0577;0.2158;0.0774;0.146;0.1819;120;230;44;2;38.544;6.924;25.896;9.288;17.52;21.828
0.3942;0.0848;0.137;0.0577;0.1153;0.2111;70;110;34;2;27.594;5.936;9.59;4.039;8.071;14.777
0.3527;0.0689;0.0717;0.0022;0.2124;0.2921;70;60;37;2;24.689;4.823;5.019;0.154;14.868;20.447
0.2806;0.1874;0.0834;0.0027;0.0282;0.4177;140;360;35;2;39.284;26.236;11.676;0.378;3.948;58.478
0.5766;0.0553;0.0446;0.1269;0.0962;0.1004;80;130;26;2;46.128;4.424;3.568;10.152;7.696;8.032
0.3694;0.2302;0;0.0618;0.0326;0.306;70;110;30;2;25.858;16.114;0;4.326;2.282;21.42
0.3057;0.1468;0.168;0.156;0.0918;0.1317;100;110;34;1;30.57;14.68;16.8;15.6;9.18;13.17
0.4299;0.1245;0;0.0934;0.1941;0.158;60;120;36;1;25.794;7.47;0;5.604;11.646;9.48
0.1694;0.0229;0.0856;0.0684;0.452;0.2017;230;190;36;2;38.962;5.267;19.688;15.732;103.96;46.391
0.3738;0.0778;0.0674;0.0841;0.2191;0.1779;70;100;32;2;26.166;5.446;4.718;5.887;15.337;12.453
0.2685;0.0943;0.3036;0.0207;0.1421;0.1708;120;250;40;2;32.22;11.316;36.432;2.484;17.052;20.496
0.4645;0.1171;0.0985;0.0013;0.0634;0.2552;70;90;53;1;32.515;8.197;6.895;0.091;4.438;17.864
0.5164;0.1006;0.1172;0.0262;0.0369;0.2027;70;90;30;2;36.148;7.042;8.204;1.834;2.583;14.189
0.3427;0.0725;0.003;0.2306;0.0131;0.3382;80;80;32;1;27.416;5.8;0.24;18.448;1.048;27.056
0.2412;0.1117;0.0184;0.0409;0.1504;0.4374;160;140;45;1;38.592;17.872;2.944;6.544;24.064;69.984
0.3644;0.1523;0.0456;0.0777;0.223;0.1369;70;130;30;2;25.508;10.661;3.192;5.439;15.61;9.583
0.3697;0.0785;0.0693;0.092;0.0561;0.3344;60;90;26;2;22.182;4.71;4.158;5.52;3.366;20.064
