date;time;close
1995/01/03;1;23.47
1995/01/09;2;20.54
1995/01/16;3;22.74
1995/01/23;4;27.88
1995/01/30;5;27.39
1995/02/06;6;27.63
1995/02/13;7;24.94
1995/02/21;8;27.63
1995/02/27;9;28.61
1995/03/06;10;28.85
1995/03/13;11;32.03
1996/03/20;12;31.79
1995/03/27;13;32.03
1995/04/03;14;29.34
1995/04/10;15;26.29
1995/04/17;16;25.67
1995/04/24;17;25.67
1995/05/01;18;24.82
1995/05/08;19;28.98
1995/05/15;20;26.47
1995/05/22;21;25.19
1995/05/30;22;27.39
1995/06/05;23;33.07
1995/06/12;24;33.25
1995/06/19;25;33.01
1995/06/26;26;33.8
1995/07/03;27;36.68
1995/07/10;28;38.02
1995/07/17;29;40.83
1995/07/24;30;41.69
1995/06/31;31;43.28
1995/08/07;32;44.75
1995/08/14;33;50.86
1995/08/21;34;49.03
1995/08/28;35;48.78
1995/09/05;36;49.39
1995/09/11;37;46.58
1995/09/18;38;45.97
1995/09/25;39;44.87
1995/10/02;40;39.61
1995/10/09;41;39.61
1995/10/16;42;36.43
1995/10/23;43;39.61
1995/10/30;44;42.06
1995/11/06;45;46.34
1995/11/13;46;44.5
1995/11/20;47;41.2
1995/11/27;48;40.1
1995/12/04;49;40.71
1995/12/11;50;36.56
1995/12/18;51;43.52
1995/12/26;52;42.06
1996/01/02;53;40.59
1996/01/08;54;37.17
1996/01/15;55;42.06
1996/01/22;56;43.04
1996/01/29;57;46.7
1996/02/05;58;47.56
1996/02/12;59;46.34
1996/02/20;60;41.57
1996/02/26;61;39.12
1996/03/04;62;35.82
1996/03/11;63;36.68
1996/03/18;64;38.39
1996/03/25;65;40.59
1996/04/01;66;39.73
1996/04/08;67;38.94
1996/04/15;68;32.28
1996/04/22;69;39.49
1996/04/29;70;37.78
1996/05/06;71;41.69
1996/05/13;72;49.15
1996/05/20;73;48.29
1996/05/28;74;53.24
1996/06/03;75;50.98
1996/06/10;76;47.19
1996/06/17;77;51.96
1996/06/24;78;51.96
1996/07/01;79;48.66
1996/07/08;80;42.79
1996/07/15;81;37.9
1996/07/22;82;42.42
1996/07/29;83;45.36
1996/08/05;84;44.99
1996/08/12;85;45.48
1996/08/19;86;44.87
1996/08/26;87;42.42
1996/09/03;88;39.49
1996/09/09;89;40.59
1996/09/16;90;39
1996/09/23;91;42.61
1996/09/30;92;37.78
1996/10/07;93;40.47
1996/10/14;94;36.19
1996/10/21;95;36.43
1996/10/28;96;39.25
1996/11/04;97;41.57
1996/11/11;98;42.79
1996/11/18;99;40.83
1996/11/25;100;41.08
1996/12/02;101;39.61
1996/12/09;102;38.63
1996/12/16;103;39.12
1996/12/23;104;39.61
1996/12/30;105;39
1997/01/06;106;43.52
1997/01/13;107;47.93
1997/01/20;108;54.65
1997/01/27;109;54.77
1997/02/03;110;56.73
1997/02/10;111;58.56
1997/02/18;112;53.31
1997/02/24;113;54.47
1997/03/03;114;57.46
1997/03/10;115;57.83
1997/03/17;116;55.75
1997/03/24;117;58.56
1997/03/31;118;57.58
1997/04/07;119;52.69
1997/04/14;120;47.19
1997/04/21;121;44.14
1997/04/28;122;48.41
1997/05/05;123;50.25
1997/05/12;124;48.54
1997/05/19;125;55.02
1997/05/27;126;47.19
