area;y;x1;x2
Alabama;38372840;424471;2689076
Alaska;1805427;19895;57997
Arizona;23736129;206893;2308272
Arkansas ;26981983;304055;1376235
California ;217546032;1809756;13554116
Colorado ;19462751;180366;1790751
Connecticut ;28972772;224267;1210229
Delaware ;14313157;54455;421064
District of Columbia ;159921;2029;7188
Florida;47289846;471211;2761281
Georgia ;63015125;659379;3540475
Hawaii ;1809052;17528;146371
Idaho ;10511786;75414;848220
Illinois ;105324866;963156;5870409
Indiana ;90120459;835083;5832503
Iowa ;39079550;336159;1795976
Kansas ;22826760;246144;1595118
Kentucky ;38686340;384484;2503693
Louisiana;69910555;216149;4726625
Maine ;7856947;82021;415131
Maryland ;21352966;174855;1729116
Massachusetts ;46044292;355701;2706065
Michigan ;92335528;943298;5294356
Minnesota ;48304274;456553;2833525
Mississippi ;17207903;267806;1212281
Missouri ;47340157;439427;2404122
Montana ;2644567;24167;334008
Nebraska ;14650080;163637;627806
Nevada;7290360;59737;522335
New Hampshire;9188322;96106;507488
New Jersey;51298516;407076;3295056
New Mexico;20401410;43079;404749
New York ;87756129;727177;4260353
North Carolina ;101268432;820013;4086558
North Dakota ;3556025;34723;184700
Ohio ;124986166;1174540;6301421
Oklahoma ;20451196;201284;1327353
Oregon ;34808109;257820;1456683
Pennsylvania ;104858322;944998;5896392
Rhode Island ;6541356;68987;297618
South Carolina ;37668126;400317;2500071
South Dakota ;4988905;56524;311251
Tennessee ;62828100;582241;4126465
Texas;172960157;1120382;11588283
Utah ;15702637;150030;762671
Vermont ;5418786;48134;276293
Virginia ;49166991;425346;2731669
Washington ;46164427;313279;1945860
West Virginia ;9185967;89639;685587
Wisconsin ;66964978;694628;3902823
Wyoming;2979475;15221;361536
