y;x2;x3;x4;x5;year
8.01;4.89;5.52;487.67;1;1948
9.06;4.83;5.05;490.59;2;1949
10.31;4.68;5.41;533.55;3;1950
11.76;4.42;6.16;576.57;4;1951
12.43;4.36;6.26;598.62;5;1952
13.31;4.55;6.34;621.77;6;1953
13.1;4.66;6.81;613.67;7;1954
14.94;4.54;7.15;654.8;8;1955
16.17;4.44;7.17;668.84;9;1956
14.71;4.75;6.71;681.02;10;1957
13.2;4.56;7.05;679.53;11;1958
13.19;4.29;7.04;720.53;12;1959
11.7;4.19;7.18;736.86;13;1960
10.99;4.17;7.33;755.34;14;1961
10.8;4.11;7.54;799.15;15;1962
10.66;4.04;7.61;830.7;16;1963
10.75;3.96;7.8;874.29;17;1964
9.74;3.85;8.3;925.86;18;1965
10.31;3.75;8.81;980.98;19;1966
8.88;3.69;8.66;1007.72;20;1967
8.88;3.56;8.78;1051.83;21;1968
9.7;3.56;9.18;1078.76;22;1969
7.69;3.48;9.03;1075.31;23;1970
6.92;3.53;9;1107.48;24;1971
7.54;3.39;8.78;1171.1;25;1972
7.47;3.68;8.38;1234.97;26;1973
8.63;5.92;8.01;1217.81;27;1974
9.21;6.03;7.78;1202.36;28;1975
9.23;6.12;7.88;1271.01;29;1976
9.96;6.05;7.88;1332.67;30;1977
10.78;5.89;8.67;1385.1;31;1978
