year;savings ;income
1970;69.5;735.7
1971;80.6;801.8
1972;77.2;869.1
1973;102.7;978.3
1974;113.6;1,071.6
1975;125.6;1,187.4
1976;122.3;1,302.5
1977;125.3;1,435.7
1978;142.5;1,608.3
1979;159.1;1,793.5
1980;201.4;2,009.0
1981;244.3;2,246.1
1982;270.8;2,421.2
1983;233.6;2,608.4
1984;314.8;3,109.3
1985;280.0;2,912.0
1986;268.4;3,285.1
1987;241.4;3,458.3
1988;272.9;3,748.7
1989;287.1;4,021.7
1990;299.4;4,464.3
1991;324.2;4,285.8
1992;366.0;4,751.4
1993;284.0;4,911.9
1994;249.5;5,151.8
1995;250.9 ;5,408.2
1996;228.4 ;5,688.5
1997;218.3;5,988.8
1998;276.8;6,395.9
1999;158.6;6,695.0
2000;168.5;7,194.0
2001;132.3;7,486.8
2002;184.7;7,830.1
2003;174.9;8,162.5
2004;174.3 ;8,681.6
2005;34.8;9,036.1
