dish;disp;frig;wash;dur
841;798;1317;1271;252.6
957;837;1615;1295;272.4
999;821;1662;1313;270.9 
960;858;1295;1150;273.9
894;837;1271;1289;268.9
851;838;1555;1245;262.9
863;832;1639;1270;270.9
878;818;1238;1103;263.4
792;868;1277;1273;260.6
589;623;1258;1031;231.9
657;662;1417;1143;242.7
699;822;1185;1101;248.6 
675;871;1196;1181;258.7
652;791;1410;1116;248.4
628;759;1417;1190;255.5
529;734;919;1125;240.4
480;706;943;1036;247.7
530;582;1175;1019;249.1
557;659;1269;1047;251.8
602;837;973;918;262.0
658;867;1102;1137;263.3
749;860;1344;1167;280
827;918;1641;1230;288.5
858;1017;1225;1081;300.5
808;1063;1429;1326;312.6
840;955;1699;1228;322.5
893;973;1749;1297;324.3
950;1096;1117;1198;333.1
838;1086;1242;1292;344.8
884;990;1684;1342;350.3
905;1028;1764;1323;369.1
909;1003;1328;1274;356.4
