year_quarter;un;v;d;dv
1958-IV;1.915;0.51;0;0
1959-I;1.876;0.541;0;0
1959-II;1.842;0.541;0;0
1959-III;1.75;0.69;0;0
1959-IV;1.648;0.771;0;0
1960-I;1.45;0.836;0;0
1960-II;1.393;0.908;0;0
1960-III;1.322;0.968;0;0
1960-IV;1.26;0.998;0;0
1961-I;1.171;0.968;0;0
1961-III;1.182;0.964;0;0
1961-III;1.221;0.952;0;0
1961-IV;1.34;0.849;0;0
1962-I;1.411;0.748;0;0
1962-II;1.6;0.658;0;0
1962-III;1.78;0.562;0;0
1962-IV;1.941;0.51;0;0
1963-I;2.178;0.51;0;0
1963-II;2.067;0.544;0;0
1963-III;1.942;0.568;0;0
1963-IV;1.764;0.677;0;0
1964-I;1.532;0.794;0;0
1964-II;1.455;0.838;0;0
1964-III;1.409;0.885;0;0
1964-IV;1.296;0.978;0;0
1965-I;1.201;0.997;0;0
1965-II;1.192;1.035;0;0
1965-III;1.259;1.04;0;0
1965-IV;1.192;1.086;0;0
1966-I;1.089;1.101;0;0
1966-II;1.101;1.058;0;0
1966-III;1.243;0.987;0;0
1966-IV;1.623;0.819;1;0.819
1967-I;1.821;0.74;1;0.74
1967-II;1.99;0.661;1;0.661
1967-III;2.114;0.66;1;0.66
1967-IV;2.115;0.698;1;0.698
1968-I;2.15;0.695;1;0.695
1968-II;2.141;0.732;1;0.732
1968-III;2.167;0.749;1;0.749
1968-IV;2.107;0.8;1;0.8
1969-I;2.104;0.783;1;0.783
1969-II;2.056;0.8;1;0.8
1969-III;2.17;0.794;1;0.794
1969-IV;2.161;0.79;1;0.79
1970-I;2.225;0.757;1;0.757
1970-II;2.241;0.746;1;0.746
1970-III;2.366;0.739;1;0.739
1970-IV;2.324;0.707;1;0.707
1971-I;2.516;0.583;1;0.583
1971-II;2.909;0.524;1;0.524
