year;pce_y;gdp_x
1960 ;1,597.40;2,501.80
1961 ;1,630.30;2,560.00
1962 ;1,711.10;2,715.20
1963 ;1,781.60;2,834.00
1964 ;1,888.40;2,998.60
1965 ;2,007.70;3,191.10
1966 ;2,121.80;3,399.10
1967 ;2,185.00;3,484.60
1968 ;2,310.50;3,652.70
1969 ;2,396.40;3,765.40
1970 ;2,451.90;3,771.90
1971 ;2,545.50;3,898.60
1972 ;2,701.30;4,105.00
1973 ;2,833.80;4,341.50
1974 ;2,812.30;4,319.60
1975 ;2,876.90;4,311.20
1976 ;3,035.50;4,540.90
1977 ;3,164.10;4,750.50
1978 ;3,303.10;5,015.00
1979 ;3,383.40;5,173.40
1980 ;3,374.10;5,161.70
1981 ;3,422.20;5,291.70
1982 ;3,470.30;5,189.30
1983 ;3,668.60;5,423.80
1984 ;3,863.30;5,813.60
1985 ;4,064.00;6,053.70
1986 ;4,228.90;6,263.60
1987 ;4,369.80;6,475.10
1988 ;4,546.90;6,742.70
1989 ;4,675.00;6,981.40
1990 ;4,770.30;7,112.50
1991 ;4,778.40;7,100.50
1992 ;4,934.80;7,336.60
1993 ;5,099.80;7,532.70
1994 ;5,290.70;7,835.50
1995 ;5,433.50;8,031.70
1996 ;5,619.40;8,328.90
1997 ;5,831.80;8,703.50
1998 ;6,125.80;9,066.90
1999  ;6,438.60;9,470.30
2000 ;6,739.40;9,817.00
2001 ;6,910.40;9,890.70
2002;7,099.30;10,048.80
2003;7,295.30;10,301.00
2004 ;7,577.10;10,703.50
2005 ;7,841.20;11,048.60
